standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Alarum,,
Enter,,
Richard,,
Plantagenet,,
Duke,,
of,,
York,,
Edward,,
Richard,,
Norfolk,,
Montague,,
Warwick,,
and,,
Soldiers,,
all,,
wearing,,
the,,
white,,
rose,,
WARWICK,,
I,i,pns
wonder,wonder,vvb
how,how,crq-cs
the,the,d
King,king,n1
escaped,escape,vvd
our,our,po
hands,hand,n2
YORK,,
While,while,cs
we,we,pns
pursued,pursue,vvd
the,the,d
horsemen,horseman,n2
of,of,acp-p
the,the,d
north,north,n1
He,he,pns
slyly,sly,av_j
stole,steal,vvd
away,away,av
and,and,cc
left,leave,vvd
his,his,po
men,man,n2
Whereat,whereat,crq-cs
the,the,d
great,great,j
lord,lord,n1
of,of,acp-p
Northumberland,Northumberland,n1-nn
Whose,who,crq-rg
warlike,warlike,j
ears,ear,n2
could,can,vmd
never,never,av-x
brook,brook,vvi
retreat,retreat,n1
Cheered,cheer,vvd
up,up,acp-av
the,the,d
drooping,droop,j_vg
army,army,n1
and,and,cc
himself,himself,px
Lord,lord,n1
Clifford,Clifford,n1-nn
and,and,cc
Lord,lord,n1
Stafford,Stafford,n1-nn
all,all,d
abreast,abreast,av
Charged,charge,vvd
our,our,po
main,main,j
battle's,battle,n1g
front,front,n1
and,and,cc
breaking,break,vvg
in,in,acp-p
Were,be,vvd
by,by,acp-p
the,the,d
swords,sword,n2
of,of,acp-p
common,common,j
soldiers,soldier,n2
slain,slay,vvn
EDWARD,,
Lord,lord,n1
Stafford's,Stafford,n1g-nn
father,father,n1
Duke,duke,n1
of,of,acp-p
Buckingham,Buckingham,n1-nn
Is,be,vvz
either,either,av_d
slain,slay,vvn
or,or,cc
wounded,wound,vvn
dangerous,dangerous,j
I,i,pns
cleft,cleave,vvd
his,his,po
beaver,beaver,n1
with,with,acp-p
a,a,d
downright,downright,j
blow,blow,n1
That,that,cs
this,this,d
is,be,vvz
true,true,j
father,father,n1
behold,behold,vvb
his,his,po
blood,blood,n1
He,,
shows,,
his,,
bloody,,
sword,,
MONTAGUE,,
to,,
York,,
showing,,
his,,
sword,,
And,and,cc
brother,brother,n1
here's,here|be,av|vvz
the,the,d
Earl,earl,n1
of,of,acp-p
Wiltshire's,Wiltshire,n1g-nn
blood,blood,n1
Whom,who,crq-ro
I,i,pns
encountered,encounter,vvd
as,as,acp-cs
the,the,d
battles,battle,n2
joined,join,vvd
RICHARD,,
holding,,
up,,
a,,
severed,,
head,,
Speak,speak,vvb
thou,thou,pns
for,for,acp-p
me,i,pno
and,and,cc
tell,tell,vvb
them,they,pno
what,what,crq-r
I,i,pns
did,do,vvd
YORK,,
Richard,Richard,n1-nn
hath,have,vvz
best,best,av-s_j
deserved,deserve,vvn
of,of,acp-p
all,all,d
my,my,po
sons,son,n2
But,but,acp-cc
is,be,vvz
your,your,po
Grace,grace,n1
dead,dead,j
my,my,po
lord,lord,n1
of,of,acp-p
Somerset,Somerset,n1-nn
NORFOLK,,
Such,such,d
hope,hope,n1
have,have,vvb
all,all,d
the,the,d
line,line,n1
of,of,acp-p
John,John,n1-nn
of,of,acp-p
Gaunt,Gaunt,n1-nn
RICHARD,,
Thus,thus,av
do,do,vvb
I,i,pns
hope,hope,vvi
to,to,acp-cs
shake,shake,vvi
King,king,n1
Henry's,Henry,n1g-nn
head,head,n1
WARWICK,,
And,and,cc
so,so,av
do,do,vvb
I,i,pns
victorious,victorious,j
prince,prince,n1
of,of,acp-p
York,York,n1-nn
Before,before,acp-cs
I,i,pns
see,see,vvb
thee,thou,pno
seated,seat,vvn
in,in,acp-p
that,that,d
throne,throne,n1
Which,which,crq-r
now,now,av
the,the,d
house,house,n1
of,of,acp-p
Lancaster,Lancaster,n1-nn
usurps,usurp,vvz
I,i,pns
