standard,lemma,postag
Galathea,Galathea,n1-nn
As,as,acp-p
it,it,pn
was,be,vvd
played,play,vvn
before,before,acp-p
the,the,d
queen's,queen,n1g
Majesty,majesty,n1
at,at,acp-p
Green-which,green-which,n1-nn
on,on,acp-p
Newyear's,newyeeres,n1g
day,day,n1
at,at,acp-p
Night,night,n1
❧,❧,sy
By,by,acp-p
the,the,d
Children,child,n2
of,of,acp-p
Paul's,Paul,n1g-nn
AT,at,acp-p
LONDON,London,n1-nn
Printed,print,vvn
by,by,acp-p
john,john,n1-nn
Charlwoode,Charlwoode,n1-nn
for,for,acp-p
the,the,d
Widow,widow,n1
Broome,Broome,n1-nn
1592,1592.,crd
¶,¶,¶
The,the,d
Prologue,prologue,n1
Ios,Jos,n1-nn
and,and,cc
Smyrna,Smyrna,n1-nn
were,be,vvd
two,two,crd
sweet,sweet,j
cities,city,n2
the,the,d
first,first,ord
named,name,vvd
of,of,acp-p
the,the,d
Violet,violet,n1
the,the,d
latter,latter,j
of,of,acp-p
the,the,d
Myrrh,myrrh,n1
Homer,Homer,n1-nn
was,be,vvd
born,bear,vvn
in,in,acp-p
the,the,d
one,one,pi
and,and,cc
buried,bury,vvn
in,in,acp-p
the,the,d
other,other,pi
Your,your,po
Majesty's,majesty,n1g
judgement,judgement,n1
and,and,cc
favour,favour,n1
are,be,vvb
our,our,po
Sun,sun,n1
and,and,cc
shadow,shadow,n1
the,the,d
one,one,pi
coming,come,vvg
of,of,acp-p
your,your,po
deep,deep,j
wisdom,wisdom,n1
the,the,d
other,other,pi_d
of,of,acp-p
your,your,po
wonted,wont,j_vn
grace,grace,n1
we,we,pns
in,in,acp-p
all,all,d
humility,humility,n1
desire,desire,n1
that,that,cs
by,by,acp-p
the,the,d
former,former,j
receiving,receive,vvg
our,our,po
first,first,ord
breath,breath,n1
we,we,pns
may,may,vmb
in,in,acp-p
the,the,d
latter,latter,j
take,take,vvb
our,our,po
last,last,ord
rest,rest,n1
Augustus,Augustus,n1-nn
Caesar,Caesar,n1-nn
had,have,vvd
such,such,d
piercing,pierce,j_vg
eyes,eye,n2
that,that,cs
who,who,crq-r
so,so,av
looked,look,vvd
on,on,acp-p
him,he,pno
was,be,vvd
constrained,constrain,vvn
to,to,acp-p
wink,wink,n1
Your,your,po
highness,highness,n1
hath,have,vvz
so,so,av
perfect,perfect,j
a,a,d
judgement,judgement,n1
that,that,cs
whatsoever,whatsoever,crq-r
we,we,pns
offer,offer,vvb
we,we,pns
are,be,vvb
enforced,enforce,vvn
to,to,acp-cs
blush,blush,vvi
yet,yet,av
as,as,acp-cs
the,the,d
Athenians,athenian,n2-nn_j
were,be,vvd
most,most,av-s_d
curious,curious,j
that,that,cs
the,the,d
Lawn,lawn,n1
wherewith,wherewith,crq-cs
Minerva,Minerva,n1-nn
was,be,vvd
covered,cover,vvn
should,shall,vmd
be,be,vvi
without,without,acp-p
spot,spot,n1
or,or,cc
wrinkle,wrinkle,n1
So,so,av
have,have,vvb
we,we,pns
endeavoured,endeavour,vvn
with,with,acp-p
all,all,d
care,care,n1
that,that,cs
what,what,crq-r
we,we,pns
present,present,vvb
your,your,po
Highness,highness,n1
should,shall,vmd
neither,neither,av-x_d
offend,offend,vvi
in,in,acp-p
Scene,scene,n1
nor,nor,cc-x
syllable,syllable,n1
knowing,know,vvg
that,that,cs
as,as,acp-cs
in,in,acp-p
the,the,d
ground,ground,n1
where,where,crq-cs
Gold,gold,n1
groweth,grow,vvz
nothing,nothing,pi-x
will,will,vmb
prosper,prosper,vvi
but,but,acp-p
Gold,gold,n1
so,so,av
in,in,acp-p
your,your,po
Majestes,majesty,n1g
mind,mind,n1
where,where,crq-cs
nothing,nothing,pi-x
doth,do,vvz
harbour,harbour,vvi
but,but,acp-p
virtue,virtue,n1
nothing,nothing,pi-x
can,can,vmb
enter,enter,vvi
but,but,acp-p
virtue,virtue,n1
Galathea,Galathea,n1-nn
Actus,actus,fw-la
primus,primus,fw-la
Scaena,scaena,fw-la
prima,prima,fw-la
Tyterus,Tyterus,n1-nn
Gallathea,Galathea,n1-nn
Tyterus,Tyterus,n1-nn
THE,the,d
Sun,sun,n1
doth,do,vvz
beat,beat,vvi
upon,upon,acp-p
the,the,d
plain,plain,j
fields,field,n2
wherefore,wherefore,crq-q
let,let,vvb
us,we,pno
sit,sit,vvi
down,down,acp-av
Galathea,Galathea,n1-nn
under,under,acp-p
this,this,d
fair,fair,j
Oak,oak,n1
by,by,acp-p
whose,who,crq-rg
broad,broad,j
leaves,leaf,n2
being,be,vvg
defended,defend,vvn
from,from,acp-p
the,the,d
warm,warm,j
beams,beam,n2
we,we,pns
may,may,vmb
enjoy,enjoy,vvi
the,the,d
fresh,fresh,j
air,air,n1
which,which,crq-r
softly,soft,av_j
breathes,breathe,vvz
from,from,acp-p
Humber,Humber,n1-nn
floods,flood,n2
Galla.,Galla.,n-ab
Father,father,n1
you,you,pn
have,have,vvb
devised,devise,vvn
well,well,av
and,and,cc
whilst,while,cs
our,our,po
flock,flock,n1
doth,do,vvz
roam,roam,vvi
up,up,acp-av
and,and,cc
down,down,acp-av
this,this,d
pleasant,pleasant,j
green,green,j
you,you,pn
shall,shall,vmb
recount,recount,vvi
to,to,acp-p
me,i,pno
if,if,cs
it,it,pn
please,please,vvb
you,you,pn
for,for,acp-p
what,what,crq-r
cause,cause,n1
this,this,d
Tree,tree,n1
was,be,vvd
dedicated,dedicate,vvn
unto,unto,acp-p
Neptune,Neptune,n1-nn
and,and,cc
why,why,crq-cs
you,you,pn
have,have,vvb
thus,thus,av
disguised,disguise,vvn
me,i,pno
Tyterus,Tyterus,n1-nn
I,I,pns
do,do,vvb
agree,agree,vvi
thereto,thereto,av
and,and,cc
when,when,crq-cs
thy,thy,po
state,state,n1
and,and,cc
my,my,po
care,care,n1
be,be,vvi
considered,consider,vvn
thou,thou,pns
shalt,shall,vm2
know,know,vvi
this,this,d
question,question,n1
was,be,vvd
not,not,xx
asked,ask,vvn
in,in,acp-p
vain,vain,j
Gallathea,Galathea,n1-nn
I,I,pns
willingly,willing,av_j
attend,attend,vvb
Tyterus,Tyterus,n1-nn
In,in,acp-p
times,time,n2
past,past,j
where,where,crq-cs
thou,thou,pns
seest,see,vv2
a,a,d
heap,heap,n1
of,of,acp-p
small,small,j
pebble,pebble,n1
stood,stand,vvd
a,a,d
stately,stately,j
Temple,temple,n1
of,of,acp-p
white,white,j
Marble,marble,n1
which,which,crq-r
was,be,vvd
dedicated,dedicate,vvn
to,to,acp-p
the,the,d
God,god,n1
of,of,acp-p
the,the,d
Sea,sea,n1
and,and,cc
in,in,acp-p
right,right,j
being,be,vvg
so,so,av
near,near,acp-p
the,the,d
Sea,sea,n1
hither,hither,av
came,come,vvd
all,all,d
such,such,d
as,as,acp-av
either,either,av_d
ventured,venture,vvn
by,by,acp-p
long,long,j
travel,travel,n1
to,to,acp-cs
see,see,vvi
Countries,country,n2
or,or,cc
by,by,acp-p
great,great,j
traffic,traffic,n1
to,to,acp-cs
use,use,vvi
merchandise,merchandise,n1
offering,offer,vvg
Sacrifice,sacrifice,n1
by,by,acp-p
fire,fire,n1
to,to,acp-cs
get,get,vvi
safety,safety,n1
by,by,acp-p
water,water,n1
yielding,yield,vvg
thanks,thank,n2
for,for,acp-p
perils,peril,n2
past,past,j
and,and,cc
making,make,vvg
prayers,prayer,n2
for,for,acp-p
good,good,j
success,success,n1
to,to,acp-cs
come,come,vvi
but,but,acp-cc
Fortune,fortune,n1
constant,constant,j
in,in,acp-p
nothing,nothing,pi-x
but,but,acp-p
inconstancy,inconstancy,n1
did,do,vvd
change,change,vvi
her,her,po
copy,copy,n1
as,as,acp-cs
the,the,d
people,people,n1
their,their,po
custom,custom,n1
for,for,acp-p
the,the,d
Land,land,n1
being,be,vvg
oppressed,oppress,vvn
by,by,acp-p
Danes,Dane,n2-nn
who,who,crq-r
instead,instead,av
of,of,acp-p
sacrifice,sacrifice,n1
committed,commit,vvn
sacrilege,sacrilege,n1
in,in,acp-p
steed,steed,n1
of,of,acp-p
religion,religion,n1
rebellion,rebellion,n1
and,and,cc
made,make,vvd
a,a,d
prey,prey,n1
of,of,acp-p
that,that,d
in,in,acp-p
which,which,crq-r
they,they,pns
should,shall,vmd
have,have,vvi
made,make,vvn
their,their,po
prayers,prayer,n2
tearing,tear,vvg
down,down,acp-av
the,the,d
Temple,temple,n1
even,even,av
with,with,acp-p
the,the,d
earth,earth,n1
being,be,vvg
almost,almost,av
equal,equal,j
with,with,acp-p
the,the,d
skies,sky,n2
enraged,enrage,vvd
so,so,av
the,the,d
God,god,n1
who,who,crq-r
binds,bind,vvz
the,the,d
winds,wind,n2
in,in,acp-p
the,the,d
hollows,hollow,n2_j
of,of,acp-p
the,the,d
earth,earth,n1
that,that,cs
he,he,pns
caused,cause,vvd
the,the,d
Seas,sea,n2
to,to,acp-cs
break,break,vvi
their,their,po
bounds,bound,n2
sith,sith,acp-cs
men,man,n2
had,have,vvd
broke,break,vvn
their,their,po
vows,vow,n2
and,and,cc
to,to,acp-cs
swell,swell,vvi
as,as,acp-cs
far,far,av_j
above,above,acp-p
their,their,po
reach,reach,n1
as,as,acp-cs
men,man,n2
had,have,vvd
swerved,swerve,vvn
beyond,beyond,acp-p
their,their,po
reason,reason,n1
then,then,av
might,may,vmd
you,you,pn
see,see,vvi
ships,ship,n2
sail,sail,vvi
where,where,crq-cs
sheep,sheep,n1
fed,feed,vvd
anchors,anchor,n2
cast,cast,vvb
where,where,crq-cs
ploughs,plough,n2
go,go,vvb
fishermen,fisherman,n2
throw,throw,vvb
their,their,po
nets,net,n2
where,where,crq-cs
husbandmen,husbandman,n2
sow,sow,vvi
their,their,po
Corn,corn,n1
and,and,cc
fishes,fish,n2
throw,throw,vvb
their,their,po
scales,scale,n2
where,where,crq-cs
fowls,fowl,n2
do,do,vvb
breed,breed,vvi
their,their,po
quills,quill,n2
then,then,av
might,may,vmd
you,you,pn
gather,gather,vvi
froth,froth,n1
where,where,crq-cs
now,now,av
is,be,vvz
dew,dew,n1
rotten,rot,j_vn
weeds,weed,n2
for,for,acp-p
sweet,sweet,j
roses,rose,n2
and,and,cc
take,take,vvb
view,view,n1
