standard,lemma,postag
THE,the,d
tragedy,tragedy,n1
OF,of,acp-p
CHARLES,Charles,n1-nn
Duke,duke,n1
of,of,acp-p
BYRON,Byron,n1-nn
By,by,acp-p
GEORGE,George,n1-nn
CHAPMAN,chapman,n1-nn
THE,the,d
tragedy,tragedy,n1
OF,of,acp-p
Charles,Charles,n1-nn
Duke,duke,n1
of,of,acp-p
Byron,Byron,n1-nn
ACTUS,actus,fw-la
I.,i,ord
SCAENA,scaena,fw-la
I.,i,ord
Henry,Henry,n1-nn
Vidame,Vidame,n1-nn
D'escures,D'escures,n1-nn
Espernon,Espernon,n1-nn
janin,janin,n1-nn
Hen.,Hen.,n-ab
BYron,Byron,n1-nn
fallen,fall,vvn
in,in,acp-p
so,so,av
traitorous,traitorous,j
a,a,d
relapse,relapse,n1
alleged,allege,vvn
for,for,acp-p
our,our,po
ingratitude,ingratitude,n1
what,what,crq-r
offices,office,n2
Titles,title,n2
of,of,acp-p
honour,honour,n1
and,and,cc
what,what,crq-r
admiration,admiration,n1
Could,can,vmd
France,France,n1-nn
afford,afford,vvi
him,he,pno
that,that,cs
it,it,pn
poured,pour,vvd
not,not,xx
on,on,acp-av
When,when,crq-cs
he,he,pns
was,be,vvd
scarce,scarce,av_j
arrived,arrive,vvn
at,at,acp-p
forty,forty,crd
years,year,n2
He,he,pns
ran,run,vvd
through,through,acp-p
all,all,d
chief,chief,j
dignities,dignity,n2
of,of,acp-p
France,France,n1-nn
At,at,acp-p
fourteen,fourteen,crd
years,year,n2
of,of,acp-p
age,age,n1
he,he,pns
was,be,vvd
made,make,vvn
Colonel,colonel,n1
To,to,acp-p
all,all,d
the,the,d
Swisses,swiss,n2-nn_j
serving,serve,vvg
then,then,av
in,in,acp-p
Flanders,Flanders,n1-nn
Soon,soon,av
after,after,acp-cs
he,he,pns
was,be,vvd
marshal,Marshal,n1
of,of,acp-p
the,the,d
camp,camp,n1
And,and,cc
shortly,short,av_j
after,after,acp-av
marshal,Marshal,n1
General,general,n1
He,he,pns
was,be,vvd
received,receive,vvn
high,high,j
Admiral,admiral,n1
of,of,acp-p
France,France,n1-nn
In,in,acp-p
that,that,d
our,our,po
Parliament,parliament,n1
we,we,pns
held,hold,vvd
at,at,acp-p
Tours,Tours,n1-nn
Marshal,Marshal,n1
of,of,acp-p
France,France,n1-nn
in,in,acp-p
that,that,cs
we,we,pns
held,hold,vvd
at,at,acp-p
Paris,Paris,n1-nn
And,and,cc
at,at,acp-p
the,the,d
Siege,siege,n1
of,of,acp-p
Amiens,Amiens,n1-nn
he,he,pns
acknowledged,acknowledge,vvd
None,none,pi-x
his,his,po
Superior,superior,j
but,but,acp-p
ourself,ourself,px
the,the,d
King,king,n1
Though,though,cs
I,I,pns
had,have,vvd
there,there,av
the,the,d
Princes,prince,n2
of,of,acp-p
the,the,d
blood,blood,n1
I,I,pns
made,make,vvd
him,he,pno
my,my,po
Lieutenant,lieutenant,n1
General,general,n1
Declared,declare,vvd
him,he,pno
jointly,joint,av_j
the,the,d
prime,prime,j
Peer,peer,n1
of,of,acp-p
France,France,n1-nn
And,and,cc
