standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
young,,
Bertram,,
Count,,
of,,
Rossillion,,
his,,
mother,,
the,,
Countess,,
and,,
Helen,,
Lord,,
Lafew,,
all,,
in,,
black,,
COUNTESS,,
In,in,acp-p
delivering,deliver,vvg
my,my,po
son,son,n1
from,from,acp-p
me,i,pno
I,i,pns
bury,bury,vvb
a,a,d
second,second,ord
husband,husband,n1
BERTRAM,,
And,and,cc
I,i,pns
in,in,acp-p
going,go,vvg
madam,madam,n1
weep,weep,vvb
o'er,over,acp-av
my,my,po
father's,father,n1g
death,death,n1
anew,anew,av
but,but,acp-cc
I,i,pns
must,must,vmb
attend,attend,vvi
his,his,po
Majesty's,majesty,n1g
command,command,n1
to,to,acp-p
whom,who,crq-ro
I,i,pns
am,be,vvm
now,now,av
in,in,acp-p
ward,ward,n1
evermore,evermore,av
in,in,acp-p
subjection,subjection,n1
LAFEW,,
You,you,pn
shall,shall,vmb
find,find,vvi
of,of,acp-p
the,the,d
King,king,n1
a,a,d
husband,husband,n1
madam,madam,n1
you,you,pn
sir,sir,n1
a,a,d
father,father,n1
He,he,pns
that,that,cs
so,so,av
generally,general,av_j
is,be,vvz
at,at,acp-p
all,all,d
times,time,n2
good,good,j
must,must,vmb
of,of,acp-p
necessity,necessity,n1
hold,hold,vvb
his,his,po
virtue,virtue,n1
to,to,acp-p
you,you,pn
whose,who,crq-rg
worthiness,worthiness,n1
would,will,vmd
stir,stir,vvi
it,it,pn
up,up,acp-av
where,where,crq-cs
it,it,pn
wanted,want,vvd
rather,rather,av-c
than,than,cs
lack,lack,vvi
it,it,pn
where,where,crq-cs
there,there,acp-av
is,be,vvz
such,such,d
abundance,abundance,n1
COUNTESS,,
What,what,crq-q
hope,hope,n1
is,be,vvz
there,there,acp-av
of,of,acp-p
his,his,po
Majesty's,majesty,n1g
amendment,amendment,n1
LAFEW,,
He,he,pns
hath,have,vvz
abandoned,abandon,vvn
his,his,po
physicians,physician,n2
madam,madam,n1
under,under,acp-p
whose,who,crq-rg
practices,practice,n2
he,he,pns
hath,have,vvz
persecuted,persecute,vvn
time,time,n1
with,with,acp-p
hope,hope,n1
and,and,cc
finds,find,vvz
no,no,d-x
other,other,d
advantage,advantage,n1
in,in,acp-p
the,the,d
process,process,n1
but,but,acp-av
only,only,av_j
the,the,d
losing,lose,n1_vg
of,of,acp-p
hope,hope,n1
by,by,acp-p
time,time,n1
COUNTESS,,
This,this,d
young,young,j
gentlewoman,gentlewoman,n1
had,have,vvd
a,a,d
father,father,n1
O,oh,uh
that,that,cs
had,have,vvd
how,how,crq-cs
sad,sad,j
a,a,d
passage,passage,n1
'tis,it|be,pn|vvz
whose,who,crq-rg
skill,skill,n1
was,be,vvd
almost,almost,av
as,as,acp-av
great,great,j
as,as,acp-cs
his,his,po
honesty,honesty,n1
had,have,vvd
it,it,pn
stretched,stretch,vvn
so,so,av
far,far,av_j
would,will,vmd
have,have,vvi
made,make,vvn
nature,nature,n1
immortal,immortal,j
and,and,cc
death,death,n1
should,shall,vmd
have,have,vvi
play,play,n1
for,for,acp-p
lack,lack,n1
of,of,acp-p
work,work,n1
Would,will,vmd
for,for,acp-p
the,the,d
King's,king,n1g
sake,sake,n1
he,he,pns
were,be,vvd
living,live,vvg
I,i,pns
think,think,vvb
it,it,pn
would,will,vmd
be,be,vvi
the,the,d
death,death,n1
of,of,acp-p
the,the,d
King's,king,n1g
disease,disease,n1
LAFEW,,
How,how,crq-q
called,call,vvd
you,you,pn
the,the,d
man,man,n1
you,you,pn
speak,speak,vvb
of,of,acp-p
madam,madam,n1
COUNTESS,,
He,he,pns
was,be,vvd
famous,famous,j
sir,sir,n1
in,in,acp-p
his,his,po
profession,profession,n1
and,and,cc
it,it,pn
