standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Orlando,,
and,,
Adam,,
ORLANDO,,
As,as,acp-cs
I,i,pns
remember,remember,vvb
Adam,Adam,n1-nn
it,it,pn
was,be,vvd
upon,upon,acp-p
this,this,d
fashion,fashion,n1
bequeathed,bequeath,vvn
me,i,pno
by,by,acp-p
will,will,n1
but,but,acp-av
poor,poor,j
a,a,d
thousand,thousand,crd
crowns,crown,n2
and,and,cc
as,as,acp-cs
thou,thou,pns
sayst,say,vv2
charged,charge,vvd
my,my,po
brother,brother,n1
on,on,acp-p
his,his,po
blessing,blessing,n1
to,to,acp-cs
breed,breed,vvi
me,i,pno
well,well,av
And,and,cc
there,there,acp-av
begins,begin,vvz
my,my,po
sadness,sadness,n1
My,my,po
brother,brother,n1
Jaques,Jaques,n1-nn
he,he,pns
keeps,keep,vvz
at,at,acp-p
school,school,n1
and,and,cc
report,report,n1
speaks,speak,vvz
goldenly,golden,av_j
of,of,acp-p
his,his,po
profit,profit,n1
For,for,acp-p
my,my,po
part,part,n1
he,he,pns
keeps,keep,vvz
me,i,pno
rustically,rustical,av_j
at,at,acp-p
home,home,n1
or,or,cc
to,to,acp-cs
speak,speak,vvi
more,more,av-c_d
properly,proper,av_j
stays,stay,vvz
me,i,pno
here,here,av
at,at,acp-p
home,home,n1
unkept,unkept,j
for,for,acp-p
call,call,vvb
you,you,pn
that,that,d
keeping,keep,vvg
for,for,acp-p
a,a,d
gentleman,gentleman,n1
of,of,acp-p
my,my,po
birth,birth,n1
that,that,cs
differs,differ,vvz
not,not,xx
from,from,acp-p
the,the,d
stalling,stall,n1_vg
of,of,acp-p
an,a,d
ox,ox,n1
His,his,po
horses,horse,n2
are,be,vvb
bred,breed,vvn
better,better,av-c_j
for,for,acp-p
besides,beside,acp-av
that,that,cs
they,they,pns
are,be,vvb
fair,fair,j
with,with,acp-p
their,their,po
feeding,feed,n1_vg
they,they,pns
are,be,vvb
taught,teach,vvn
their,their,po
manage,manage,n1
and,and,cc
to,to,acp-p
that,that,d
end,end,n1
riders,rider,n2
dearly,dear,av_j
hired,hire,vvn
But,but,acp-cc
I,i,pns
his,his,po
brother,brother,n1
gain,gain,vvb
nothing,nothing,pi-x
under,under,acp-p
him,he,pno
but,but,acp-av
growth,growth,n1
for,for,acp-p
the,the,d
which,which,crq-r
his,his,po
animals,animal,n2
on,on,acp-p
his,his,po
dunghills,dunghill,n2
are,be,vvb
as,as,acp-av
much,much,av_d
bound,bind,vvn
to,to,acp-p
him,he,pno
as,as,acp-cs
I,i,pns
Besides,beside,acp-p
this,this,d
nothing,nothing,pi-x
that,that,cs
he,he,pns
so,so,av
plentifully,plentiful,av_j
gives,give,vvz
me,i,pno
the,the,d
something,something,pi
that,that,cs
nature,nature,n1
gave,give,vvd
me,i,pno
his,his,po
countenance,countenance,n1
seems,seem,vvz
to,to,acp-cs
take,take,vvi
from,from,acp-p
me,i,pno
He,he,pns
lets,let,vvz
me,i,pno
feed,feed,vvi
with,with,acp-p
his,his,po
hinds,hind,n2
bars,bar,vvz
me,i,pno
the,the,d
place,place,n1
of,of,acp-p
a,a,d
brother,brother,n1
and,and,cc
as,as,acp-av
much,much,d
as,as,acp-cs
in,in,acp-p
him,he,pno
lies,lie,vvz
mines,mine,vvz
my,my,po
gentility,gentility,n1
with,with,acp-p
my,my,po
education,education,n1
This,this,d
is,be,vvz
it,it,pn
Adam,Adam,n1-nn
that,that,cs
grieves,grieve,vvz
me,i,pno
and,and,cc
the,the,d
spirit,spirit,n1
of,of,acp-p
my,my,po
father,father,n1
which,which,crq-r
I,i,pns
think,think,vvb
is,be,vvz
within,within,acp-p
me,i,pno
begins,begin,vvz
to,to,acp-p
mutiny,mutiny,vvi
against,against,acp-p
this,this,d
