standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Leonato,,
Governor,,
of,,
Messina,,
Hero,,
his,,
daughter,,
and,,
Beatrice,,
his,,
niece,,
with,,
a,,
Messenger,,
LEONATO,,
with,,
a,,
letter,,
I,i,pns
learn,learn,vvb
in,in,acp-p
this,this,d
letter,letter,n1
that,that,cs
Don,don,n1
Pedro,Pedro,n1-nn
of,of,acp-p
Aragon,Arragon,n1-nn
comes,come,vvz
this,this,d
night,night,n1
to,to,acp-p
Messina,Messina,n1-nn
MESSENGER,,
He,he,pns
is,be,vvz
very,very,av
near,near,j
by,by,acp-p
this,this,d
He,he,pns
was,be,vvd
not,not,xx
three,three,crd
leagues,league,n2
off,off,acp-p
when,when,crq-cs
I,i,pns
left,leave,vvd
him,he,pno
LEONATO,,
How,how,crq-q
many,many,d
gentlemen,gentleman,n2
have,have,vvb
you,you,pn
lost,lose,vvn
in,in,acp-p
this,this,d
action,action,n1
MESSENGER,,
But,but,acp-cc
few,few,d
of,of,acp-p
any,any,d
sort,sort,n1
and,and,cc
none,none,pi-x
of,of,acp-p
name,name,n1
LEONATO,,
A,a,d
victory,victory,n1
is,be,vvz
twice,twice,av
itself,itself,px
when,when,crq-cs
the,the,d
achiever,achiever,n1
brings,bring,vvz
home,home,av_n
full,full,j
numbers,number,n2
I,i,pns
find,find,vvb
here,here,av
that,that,cs
Don,don,n1
Pedro,Pedro,n1-nn
hath,have,vvz
bestowed,bestow,vvn
much,much,d
honor,honour,n1
on,on,acp-p
a,a,d
young,young,j
Florentine,Florentine,j-nn
called,call,vvn
Claudio,Claudio,n1-nn
MESSENGER,,
Much,much,av_d
deserved,deserve,vvn
on,on,acp-p
his,his,po
part,part,n1
and,and,cc
equally,equal,av_j
remembered,remember,vvn
by,by,acp-p
Don,don,n1
Pedro,Pedro,n1-nn
He,he,pns
hath,have,vvz
borne,bear,vvn
himself,himself,px
beyond,beyond,acp-p
the,the,d
promise,promise,n1
of,of,acp-p
his,his,po
age,age,n1
doing,do,vvg
in,in,acp-p
the,the,d
figure,figure,n1
of,of,acp-p
a,a,d
lamb,lamb,n1
the,the,d
feats,feat,n2
of,of,acp-p
a,a,d
lion,lion,n1
He,he,pns
hath,have,vvz
indeed,indeed,av
better,better,av-c_j
bettered,better,vvn
expectation,expectation,n1
than,than,cs
you,you,pn
must,must,vmb
expect,expect,vvi
of,of,acp-p
me,i,pno
to,to,acp-cs
tell,tell,vvi
you,you,pn
how,how,crq-cs
LEONATO,,
He,he,pns
hath,have,vvz
an,a,d
uncle,uncle,n1
here,here,av
in,in,acp-p
Messina,Messina,n1-nn
will,will,vmb
be,be,vvi
very,very,av
much,much,d
glad,glad,j
of,of,acp-p
it,it,pn
MESSENGER,,
I,i,pns
have,have,vvb
already,already,av
delivered,deliver,vvn
him,he,pno
letters,letter,n2
and,and,cc
there,there,acp-av
appears,appear,vvz
much,much,d
joy,joy,n1
in,in,acp-p
him,he,pno
even,even,av
so,so,av
much,much,av_d
that,that,cs
joy,joy,n1
could,can,vmd
not,not,xx
show,show,vvi
itself,itself,px
modest,modest,j
enough,enough,av_d
without,without,acp-p
a,a,d
badge,badge,n1
of,of,acp-p
bitterness,bitterness,n1
LEONATO,,
Did,do,vvd
he,he,pns
break,break,vvi
out,out,av
into,into,acp-p
tears,tear,n2
MESSENGER,,
In,in,acp-p
great,great,j
measure,measure,n1
LEONATO,,
A,a,d
kind,kind,j
overflow,overflow,n1
of,of,acp-p
kindness,kindness,n1
There,there,acp-av
are,be,vvb
no,no,d-x
faces,face,n2
truer,true,j-c
than,than,cs
those,those,d
that,that,d
are,be,vvb
so,so,av
washed,wash,vvn
How,how,crq-cs
much,much,d
better,better,j-c
is,be,vvz
it,it,pn
to,to,acp-cs
