standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Demetrius,,
and,,
Philo,,
PHILO,,
Nay,nay,uh
but,but,acp-cc
this,this,d
dotage,dotage,n1
of,of,acp-p
our,our,po
general's,general,n1g
O'erflows,overflow,vvz
the,the,d
measure,measure,n1
Those,those,d
his,his,po
goodly,goodly,j
eyes,eye,n2
That,that,cs
o'er,over,acp-p
the,the,d
files,file,n2
and,and,cc
musters,muster,n2
of,of,acp-p
the,the,d
war,war,n1
Have,have,vvb
glowed,glow,vvn
like,like,acp-p
plated,plate,j_vn
Mars,Mars,n1-nn
now,now,av
bend,bend,vvb
now,now,av
turn,turn,vvb
The,the,d
office,office,n1
and,and,cc
devotion,devotion,n1
of,of,acp-p
their,their,po
view,view,n1
Upon,upon,acp-p
a,a,d
tawny,tawny,j
front,front,n1
His,his,po
captain's,captain,n1g
heart,heart,n1
Which,which,crq-r
in,in,acp-p
the,the,d
scuffles,scuffle,n2
of,of,acp-p
great,great,j
fights,fight,n2
hath,have,vvz
burst,burst,vvn
The,the,d
buckles,buckle,n2
on,on,acp-p
his,his,po
breast,breast,n1
reneges,renege,vvz
all,all,d
temper,temper,n1
And,and,cc
is,be,vvz
become,become,vvn
the,the,d
bellows,bellows,n2
and,and,cc
the,the,d
fan,fan,n1
To,to,acp-cs
cool,cool,vvi
a,a,d
gypsy's,Gipsy,n1g-nn
lust,lust,n1
Flourish,,
Enter,,
Antony,,
Cleopatra,,
her,,
Ladies,,
the,,
Train,,
with,,
Eunuchs,,
fanning,,
her,,
Look,look,vvb
where,where,crq-cs
they,they,pns
come,come,vvb
Take,take,vvb
but,but,acp-av
good,good,j
note,note,n1
and,and,cc
you,you,pn
shall,shall,vmb
see,see,vvi
in,in,acp-p
him,he,pno
The,the,d
triple,triple,j
pillar,pillar,n1
of,of,acp-p
the,the,d
world,world,n1
transformed,transform,vvn
Into,into,acp-p
a,a,d
strumpet's,strumpet,n1g
fool,fool,n1
Behold,behold,vvb
and,and,cc
see,see,vvb
CLEOPATRA,,
If,if,cs
it,it,pn
be,be,vvb
love,love,n1
indeed,indeed,av
tell,tell,vvb
me,i,pno
how,how,crq-q
much,much,d
ANTONY,,
There's,there|be,acp-av|vvz
beggary,beggary,n1
in,in,acp-p
the,the,d
love,love,n1
that,that,cs
can,can,vmb
be,be,vvi
reckoned,reckon,vvn
CLEOPATRA,,
I'll,i|will,pns|vmb
set,set,vvi
a,a,d
bourn,bourn,n1
how,how,crq-cs
far,far,av_j
to,to,acp-cs
be,be,vvi
beloved,belove,vvn
ANTONY,,
Then,then,av
must,must,vmb
thou,thou,pns
needs,needs,av
find,find,vvi
out,out,av
new,new,j
heaven,heaven,n1
new,new,j
Earth,earth,n1
Enter,,
a,,
Messenger,,
MESSENGER,,
News,news,n1
my,my,po
good,good,j
lord,lord,n1
from,from,acp-p
Rome,Rome,n1-nn
ANTONY,,
Grates,grate,vvz
me,i,pno
the,the,d
sum,sum,n1
CLEOPATRA,,
Nay,nay,uh
hear,hear,vvb
them,they,pno
Antony,Antony,n1-nn
Fulvia,Fulvia,n1-nn
perchance,perchance,av
is,be,vvz
angry,angry,j
Or,or,cc
who,who,crq-q
knows,know,vvz
If,if,cs
the,the,d
scarce-bearded,scarce-bearded,j
Caesar,Caesar,n1-nn
have,have,vvb
not,not,xx
sent,send,vvn
His,his,po
powerful,powerful,j
mandate,mandate,n1
to,to,acp-p
you,you,pn
Do,do,vvb
this,this,d
or,or,cc
this,this,d
Take,take,vvb
in,in,acp-p
that,that,d
kingdom,kingdom,n1
and,and,cc
enfranchise,enfranchise,vvb
that,that,d
Perform,perform,vvb
't,it,pn
or,or,cc
else,else,av
we,we,pns
damn,damn,vvb
thee,thou,pno
ANTONY,,
How,how,crq-q
