standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
a,,
company,,
of,,
mutinous,,
Citizens,,
with,,
staves,,
clubs,,
and,,
other,,
weapons,,
FIRST,,
CITIZEN,,
Before,before,acp-cs
we,we,pns
proceed,proceed,vvb
any,any,d
further,further,av-c_j
hear,hear,vvb
me,i,pno
speak,speak,vvi
ALL,,
Speak,speak,vvb
speak,speak,vvb
FIRST,,
CITIZEN,,
You,you,pn
are,be,vvb
all,all,d
resolved,resolve,vvn
rather,rather,av-c
to,to,acp-cs
die,die,vvi
than,than,cs
to,to,acp-cs
famish,famish,vvi
ALL,,
Resolved,resolve,vvn
resolved,resolve,vvn
FIRST,,
CITIZEN,,
First,first,ord
you,you,pn
know,know,vvb
Caius,Caius,n1-nn
Martius,Martius,n1-nn
is,be,vvz
chief,chief,j
enemy,enemy,n1
to,to,acp-p
the,the,d
people,people,n1
ALL,,
We,we,pns
know,know,vvb
't,it,pn
we,we,pns
know,know,vvb
't,it,pn
FIRST,,
CITIZEN,,
Let,let,vvb
us,we,pno
kill,kill,vvi
him,he,pno
and,and,cc
we'll,we|will,pns|vmb
have,have,vvi
corn,corn,n1
at,at,acp-p
our,our,po
own,own,d
price,price,n1
Is,be,vvz
't,it,pn
a,a,d
verdict,verdict,n1
ALL,,
No,no,av-x_d
more,more,av-c_d
talking,talk,vvg
on,on,acp-p
't,it,pn
let,let,vvb
it,it,pn
be,be,vvi
done,do,vvn
Away,away,av
away,away,av
SECOND,,
CITIZEN,,
One,one,crd
word,word,n1
good,good,j
citizens,citizen,n2
FIRST,,
CITIZEN,,
We,we,pns
are,be,vvb
accounted,account,vvn
poor,poor,j
citizens,citizen,n2
the,the,d
patricians,patrician,n2
good,good,j
What,what,crq-q
authority,authority,n1
surfeits,surfeit,vvz
on,on,acp-av
would,will,vmd
relieve,relieve,vvi
us,we,pno
If,if,cs
they,they,pns
would,will,vmd
yield,yield,vvi
us,we,pno
but,but,acp-av
the,the,d
superfluity,superfluity,n1
while,while,cs
it,it,pn
were,be,vvd
wholesome,wholesome,j
we,we,pns
might,may,vmd
guess,guess,vvi
they,they,pns
relieved,relieve,vvd
us,we,pno
humanely,humane,av_j
But,but,acp-cc
they,they,pns
think,think,vvb
we,we,pns
are,be,vvb
too,too,av
dear,dear,j
The,the,d
leanness,leanness,n1
that,that,cs
afflicts,afflict,vvz
us,we,pno
the,the,d
object,object,n1
of,of,acp-p
our,our,po
misery,misery,n1
is,be,vvz
as,as,acp-p
an,a,d
inventory,inventory,n1
to,to,acp-cs
particularize,particularize,vvi
their,their,po
abundance,abundance,n1
our,our,po
sufferance,sufferance,n1
is,be,vvz
a,a,d
gain,gain,n1
to,to,acp-p
them,they,pno
Let,let,vvb
us,we,pno
revenge,revenge,vvi
this,this,d
with,with,acp-p
our,our,po
pikes,pike,n2
ere,ere,acp-cs
we,we,pns
become,become,vvb
rakes,rake,n2
for,for,acp-p
the,the,d
gods,god,n2
know,know,vvb
I,i,pns
speak,speak,vvb
this,this,d
in,in,acp-p
hunger,hunger,n1
for,for,acp-p
bread,bread,n1
not,not,xx
in,in,acp-p
thirst,thirst,n1
for,for,acp-p
revenge,revenge,n1
SECOND,,
CITIZEN,,
Would,will,vmd
you,you,pn
proceed,proceed,vvi
especially,especial,av_j
against,against,acp-p
Caius,Caius,n1-nn
Martius,Martius,n1-nn
ALL,,
Against,against,acp-p
him,he,pno
first,first,ord
He's,he|be,pns|vvz
a,a,d
very,very,j
dog,dog,n1
to,to,acp-p
the,the,d
commonalty,commonalty,n1
SECOND,,
CITIZEN,,
Consider,consider,vvb
you,you,pn
what,what,crq-r
services,service,n2
he,he,pns
has,have,vvz
done,do,vvn
for,for,acp-p
his,his,po
country,country,n1
FIRST,,
CITIZEN,,
