standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
two,,
Gentlemen,,
FIRST,,
GENTLEMAN,,
You,you,pn
do,do,vvb
not,not,xx
meet,meet,vvi
a,a,d
man,man,n1
but,but,acp-p
frowns,frown,vvz
Our,our,po
bloods,blood,n2
No,no,av-x_d
more,more,av-c_d
obey,obey,vvb
the,the,d
heavens,heaven,n2
than,than,cs
our,our,po
courtiers',courtier,n2
Still,still,av
seem,seem,vvb
as,as,acp-cs
does,do,vvz
the,the,d
King's,king,n1g
SECOND,,
GENTLEMAN,,
But,but,acp-cc
what's,what|be,crq-q|vvz
the,the,d
matter,matter,n1
FIRST,,
GENTLEMAN,,
His,his,po
daughter,daughter,n1
and,and,cc
the,the,d
heir,heir,n1
of,of,acp-p
's,his,po
kingdom,kingdom,n1
whom,who,crq-ro
He,he,pns
purposed,purpose,vvd
to,to,acp-p
his,his,po
wife's,wife,n1g
sole,sole,j
son,son,n1
a,a,d
widow,widow,n1
That,that,cs
late,late,av_j
he,he,pns
married,marry,vvd
hath,have,vvz
referred,refer,vvn
herself,herself,px
Unto,unto,acp-p
a,a,d
poor,poor,j
but,but,acp-cc
worthy,worthy,j
gentleman,gentleman,n1
She's,she|be,pns|vvz
wedded,wed,vvn
Her,her,po
husband,husband,n1
banished,banish,vvn
she,she,pns
imprisoned,imprison,vvn
All,all,d
Is,be,vvz
outward,outward,j
sorrow,sorrow,n1
though,though,cs
I,i,pns
think,think,vvb
the,the,d
King,king,n1
Be,be,vvb
touched,touch,vvn
at,at,acp-p
very,very,j
heart,heart,n1
SECOND,,
GENTLEMAN,,
None,none,pi-x
but,but,acp-p
the,the,d
King,king,n1
FIRST,,
GENTLEMAN,,
He,he,pns
that,that,cs
hath,have,vvz
lost,lose,vvn
her,she,pno
too,too,av
So,so,av
is,be,vvz
the,the,d
Queen,queen,n1
That,that,cs
most,most,d-s
desired,desire,vvd
the,the,d
match,match,n1
But,but,acp-cc
not,not,xx
a,a,d
courtier,courtier,n1
Although,although,cs
they,they,pns
wear,wear,vvb
their,their,po
faces,face,n2
to,to,acp-p
the,the,d
bent,bent,n1
Of,of,acp-p
the,the,d
King's,king,n1g
looks,look,n2
hath,have,vvz
a,a,d
heart,heart,n1
that,that,cs
is,be,vvz
not,not,xx
Glad,glad,j
at,at,acp-p
the,the,d
thing,thing,n1
they,they,pns
scowl,scowl,vvb
at,at,acp-p
SECOND,,
GENTLEMAN,,
And,and,cc
why,why,crq-q
so,so,av
FIRST,,
GENTLEMAN,,
He,he,pns
that,that,cs
hath,have,vvz
missed,miss,vvn
the,the,d
Princess,princess,n1
is,be,vvz
a,a,d
thing,thing,n1
Too,too,av
bad,bad,j
for,for,acp-p
bad,bad,j
report,report,n1
and,and,cc
he,he,pns
that,that,cs
hath,have,vvz
her,her,po
I,i,pns
mean,mean,vvb
that,that,cs
married,marry,vvd
her,she,pno
alack,alack,uh
good,good,j
man,man,n1
And,and,cc
therefore,therefore,av
banished,banish,vvn
is,be,vvz
a,a,d
creature,creature,n1
such,such,d
As,as,acp-cs
to,to,acp-cs
seek,seek,vvi
through,through,acp-p
the,the,d
regions,region,n2
of,of,acp-p
the,the,d
Earth,earth,n1
For,for,acp-p
one,one,pi
his,he,png
like,like,acp-p
there,there,acp-av
would,will,vmd
be,be,vvi
something,something,pi
failing,fail,vvg
In,in,acp-p
him,he,pno
that,that,cs
should,shall,vmd
compare,compare,vvi
I,i,pns
do,do,vvb
not,not,xx
think,think,vvi
So,so,av
fair,fair,j
an,a,d
outward,outward,j
and,and,cc
such,such,d
stuff,stuff,n1
within,within,acp-p
Endows,endow,vvz
a,a,d
man,man,n1
but,but,acp-p
he,he,pns
SECOND,,
GENTLEMAN,,
You,you,pn
speak,speak,vvb
him,he,pno
