standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Solinus,,
the,,
Duke,,
of,,
Ephesus,,
with,,
Egeon,,
the,,
Merchant,,
of,,
Syracuse,,
Jailer,,
and,,
other,,
Attendants,,
EGEON,,
Proceed,proceed,vvb
Solinus,Solinus,n1-nn
to,to,acp-cs
procure,procure,vvi
my,my,po
fall,fall,n1
And,and,cc
by,by,acp-p
the,the,d
doom,doom,n1
of,of,acp-p
death,death,n1
end,end,n1
woes,woe,n2
and,and,cc
all,all,d
DUKE,,
Merchant,merchant,n1
of,of,acp-p
Syracusa,Syracuse,n1-nn
plead,plead,vvb
no,no,av-x_d
more,more,d-c
I,i,pns
am,be,vvm
not,not,xx
partial,partial,j
to,to,acp-cs
infringe,infringe,vvi
our,our,po
laws,law,n2
The,the,d
enmity,enmity,n1
and,and,cc
discord,discord,n1
which,which,crq-r
of,of,acp-p
late,late,av_j
Sprung,spring,vvd
from,from,acp-p
the,the,d
rancorous,rancorous,j
outrage,outrage,n1
of,of,acp-p
your,your,po
duke,duke,n1
To,to,acp-p
merchants,merchant,n2
our,our,po
well-dealing,well-dealing,j
countrymen,countryman,n2
Who,who,crq-r
wanting,want,vvg
guilders,guilder,n2
to,to,acp-cs
redeem,redeem,vvi
their,their,po
lives,life,n2
Have,have,vvb
sealed,seal,vvn
his,his,po
rigorous,rigorous,j
statutes,statute,n2
with,with,acp-p
their,their,po
bloods,blood,n2
Excludes,exclude,vvz
all,all,d
pity,pity,n1
from,from,acp-p
our,our,po
threat'ning,threaten,j_vg
looks,look,n2
For,for,acp-p
since,since,acp-p
the,the,d
mortal,mortal,j
and,and,cc
intestine,intestine,j
jars,jar,n2
'Twixt,betwixt,acp-p
thy,thy,po
seditious,seditious,j
countrymen,countryman,n2
and,and,cc
us,we,pno
It,it,pn
hath,have,vvz
in,in,acp-p
solemn,solemn,j
synods,synod,n2
been,be,vvn
decreed,decree,vvn
Both,both,av_d
by,by,acp-p
the,the,d
Syracusians,Syracusian,n2-nn_j
and,and,cc
ourselves,ourselves,px
To,to,acp-cs
admit,admit,vvi
no,no,d-x
traffic,traffic,n1
to,to,acp-p
our,our,po
adverse,adverse,j
towns,town,n2
Nay,nay,uh
more,more,av-c_d
if,if,cs
any,any,d
born,bear,vvn
at,at,acp-p
Ephesus,Ephesus,n1-nn
Be,be,vvb
seen,see,vvn
at,at,acp-p
Syracusian,Syracusian,j-nn
marts,mart,n2
and,and,cc
fairs,fair,n2
Again,again,av
if,if,cs
any,any,d
Syracusian,Syracusian,j-nn
born,bear,vvn
Come,come,vvb
to,to,acp-p
the,the,d
bay,bay,n1
of,of,acp-p
Ephesus,Ephesus,n1-nn
he,he,pns
dies,die,vvz
His,his,po
goods,good,n2_j
confiscate,confiscate,vvn
to,to,acp-p
the,the,d
Duke's,duke,n1g
dispose,dispose,n1
Unless,unless,cs
a,a,d
thousand,thousand,crd
marks,mark,n2
be,be,vvb
levièd,levy,vvn
To,to,acp-cs
quit,quit,vvi
the,the,d
penalty,penalty,n1
and,and,cc
to,to,acp-cs
ransom,ransom,vvi
him,he,pno
Thy,thy,po
substance,substance,n1
valued,value,vvn
at,at,acp-p
the,the,d
highest,high,j-s
rate,rate,n1
Cannot,can,vmb-x
amount,amount,vvi
unto,unto,acp-p
a,a,d
hundred,hundred,crd
marks,mark,n2
Therefore,therefore,av
by,by,acp-p
law,law,n1
thou,thou,pns
art,be,vv2
condemned,condemn,vvn
to,to,acp-cs
die,die,vvi
EGEON,,
Yet,yet,av
this,this,d
my,my,po
comfort,comfort,n1
when,when,crq-cs
your,your,po
words,word,n2
are,be,vvb
done,do,vvn
My,my,po
woes,woe,n2
end,end,vvb
likewise,likewise,av
with,with,acp-p
the,the,d
evening,evening,n1
