standard,lemma,postag
PROLOGUE,,
Enter,,
Chorus,,
as,,
Prologue,,
CHORUS,,
O,oh,uh
for,for,acp-p
a,a,d
muse,muse,n1
of,of,acp-p
fire,fire,n1
that,that,cs
would,will,vmd
ascend,ascend,vvi
The,the,d
brightest,bright,j-s
heaven,heaven,n1
of,of,acp-p
invention,invention,n1
A,a,d
kingdom,kingdom,n1
for,for,acp-p
a,a,d
stage,stage,n1
princes,prince,n2
to,to,acp-cs
act,act,vvi
And,and,cc
monarchs,monarch,n2
to,to,acp-cs
behold,behold,vvi
the,the,d
swelling,swell,j_vg
scene,scene,n1
Then,then,av
should,shall,vmd
the,the,d
warlike,warlike,j
Harry,Harry,n1-nn
like,like,acp-p
himself,himself,px
Assume,assume,vvb
the,the,d
port,port,n1
of,of,acp-p
Mars,Mars,n1-nn
and,and,cc
at,at,acp-p
his,his,po
heels,heel,n2
Leashed,leash,vvn
in,in,acp-p
like,like,acp-p
hounds,hound,n2
should,shall,vmd
famine,famine,n1
sword,sword,n1
and,and,cc
fire,fire,n1
Crouch,crouch,vvb
for,for,acp-p
employment,employment,n1
But,but,acp-cc
pardon,pardon,vvb
gentles,gentle,n2_j
all,all,d
The,the,d
flat,flat,j
unraisèd,unraised,j
spirits,spirit,n2
that,that,cs
hath,have,vvz
dared,dare,vvn
On,on,acp-p
this,this,d
unworthy,unworthy,j
scaffold,scaffold,n1
to,to,acp-cs
bring,bring,vvi
forth,forth,av
So,so,av
great,great,j
an,a,d
object,object,n1
Can,can,vmb
this,this,d
cockpit,cockpit,n1
hold,hold,vvi
The,the,d
vasty,vasty,j
fields,field,n2
of,of,acp-p
France,France,n1-nn
Or,or,cc
may,may,vmb
we,we,pns
cram,cram,vvi
Within,within,acp-p
this,this,d
wooden,wooden,j
O,oh,uh
the,the,d
very,very,j
casques,casque,n2
That,that,cs
did,do,vvd
affright,affright,vvi
the,the,d
air,air,n1
at,at,acp-p
Agincourt,Agincourt,n1-nn
O,oh,uh
pardon,pardon,vvb
since,since,acp-cs
a,a,d
crookèd,crooked,j
figure,figure,n1
may,may,vmb
Attest,attest,vvi
in,in,acp-p
little,little,j
place,place,n1
a,a,d
million,million,crd
And,and,cc
let,let,vvb
us,we,pno
ciphers,cipher,vvz
to,to,acp-p
this,this,d
great,great,j
account,account,n1
On,on,acp-p
your,your,po
imaginary,imaginary,j
forces,force,n2
work,work,vvb
Suppose,suppose,vvb
within,within,acp-p
the,the,d
girdle,girdle,n1
of,of,acp-p
these,these,d
walls,wall,n2
Are,be,vvb
now,now,av
confined,confine,vvn
two,two,crd
mighty,mighty,j
monarchies,monarchy,n2
Whose,who,crq-rg
high,high,j
uprearèd,uprear,j_vn
and,and,cc
abutting,abut,j_vg
fronts,front,n2
The,the,d
perilous,perilous,j
narrow,narrow,j
ocean,ocean,n1
parts,part,vvz
asunder,asunder,av
Piece,piece,vvb
out,out,av
our,our,po
imperfections,imperfection,n2
with,with,acp-p
your,your,po
thoughts,thought,n2
Into,into,acp-p
a,a,d
thousand,thousand,crd
parts,part,n2
divide,divide,vvb
one,one,crd
man,man,n1
And,and,cc
make,make,vvb
imaginary,imaginary,j
puissance,puissance,n1
Think,think,vvb
when,when,crq-cs
we,we,pns
talk,talk,vvb
of,of,acp-p
horses,horse,n2
that,that,cs
you,you,pn
see,see,vvb
them,they,pno
Printing,print,vvg
their,their,po
proud,proud,j
hoofs,hoof,n2
i',in,acp-p
th',the,d
receiving,receive,j_vg
earth,earth,n1
For,for,acp-p
'tis,it|be,pn|vvz
your,your,po
thoughts,thought,n2
that,that,cs
now,now,av
must,must,vmb
deck,deck,vvi
our,our,po
kings,king,n2
Carry,carry,vvb
them,they,pno
here,here,av
and,and,cc
there,there,acp-av
jumping,jump,vvg
o'er,over,acp-av
times,time,n2
Turning,turn,vvg
th',the,d
accomplishment,accomplishment,n1
of,of,acp-p
many,many,d
years,year,n2
Into,into,acp-p
an,a,d
hourglass,hourglass,n1
for,for,acp-p
the,the,d
which,which,crq-r
supply,supply,vvb
Admit,admit,vvb
me,i,pno
chorus,chorus,n1
to,to,acp-p
this,this,d
history,history,n1
Who,who,crq-r
prologue-like,prologue-like,j
your,your,po
humble,humble,j
patience,patience,n1
pray,pray,vvb
Gently,gentle,av_j
to,to,acp-cs
hear,hear,vvi
kindly,kind,av_j
to,to,acp-cs
judge,judge,vvi
our,our,po
play,play,n1
He,,
exits,,
ACT,,
1,,
Scene,,
1,,
Enter,,
the,,
two,,
Bishops,,
of,,
Canterbury,,
and,,
Ely,,
BISHOP,,
OF,,
CANTERBURY,,
My,my,po
lord,lord,n1
I'll,i|will,pns|vmb
tell,tell,vvi
you,you,pn
that,that,d
self,self,n1
bill,bill,n1
is,be,vvz
urged,urge,vvn
Which,which,crq-r
in,in,acp-p
th',the,d
eleventh,eleven,ord
year,year,n1
of,of,acp-p
the,the,d
last,last,ord
king's,king,n1g
reign,reign,n1
Was,be,vvd
like,like,acp-p
and,and,cc
had,have,vvd
indeed,indeed,av
against,against,acp-p
us,we,pno
passed,pass,vvd
But,but,acp-cc
that,that,cs
the,the,d
scambling,scamble,j_vg
and,and,cc
unquiet,unquiet,j
time,time,n1
Did,do,vvd
push,push,vvi
it,it,pn
out,out,av
of,of,acp-p
farther,far,j-c
question,question,n1
BISHOP,,
OF,,
ELY,,
But,but,acp-cc
how,how,crq-q
my,my,po
lord,lord,n1
shall,shall,vmb
we,we,pns
resist,resist,vvi
it,it,pn
now,now,av
BISHOP,,
OF,,
CANTERBURY,,
It,it,pn
must,must,vmb
be,be,vvi
thought,think,vvn
on,on,acp-av
If,if,cs
it,it,pn
pass,pass,vvb
against,against,acp-p
us,we,pno
We,we,pns
lose,lose,vvb
the,the,d
better,better,j-c
half,half,n1_j
of,of,acp-p
our,our,po
possession,possession,n1
For,for,acp-p
all,all,d
the,the,d
temporal,temporal,j
lands,land,n2
which,which,crq-r
men,man,n2
devout,devout,j
By,by,acp-p
testament,testament,n1
have,have,vvb
given,give,vvn
to,to,acp-p
the,the,d
Church,church,n1
Would,will,vmd
they,they,pns
strip,strip,vvi
from,from,acp-p
us,we,pno
being,be,vvg
valued,value,vvn
thus,thus,av
As,as,acp-av
much,much,d
as,as,acp-cs
would,will,vmd
maintain,maintain,vvi
to,to,acp-p
the,the,d
King's,king,n1g
honor,honour,n1
Full,full,j
fifteen,fifteen,crd
earls,earl,n2
and,and,cc
fifteen,fifteen,crd
hundred,hundred,crd
knights,knight,n2
Six,six,crd
thousand,thousand,crd
and,and,cc
two,two,crd
hundred,hundred,crd
good,good,j
esquires,esquire,n2
And,and,cc
to,to,acp-p
relief,relief,n1
of,of,acp-p
lazars,lazar,n2
and,and,cc
weak,weak,j
age,age,n1
Of,of,acp-p
indigent,indigent,j
faint,faint,j
souls,soul,n2
past,past,av_j
corporal,corporal,j
toil,toil,n1
A,a,d
hundred,hundred,crd
almshouses,almshouse,n2
right,right,av_j
well,well,av
supplied,supply,vvn
And,and,cc
to,to,acp-p
the,the,d
coffers,coffer,n2
of,of,acp-p
the,the,d
King,king,n1
besides,beside,acp-av
A,a,d
thousand,thousand,crd
pounds,pound,n2
by,by,acp-p
th',the,d
year,year,n1
Thus,thus,av
runs,run,vvz
the,the,d
bill,bill,n1
BISHOP,,
OF,,
ELY,,
This,this,d
would,will,vmd
drink,drink,vvi
deep,deep,av_j
BISHOP,,
OF,,
CANTERBURY,,
'Twould,it|will,pn|vmd
drink,drink,vvi
the,the,d
cup,cup,n1
and,and,cc
all,all,d
BISHOP,,
OF,,
ELY,,
But,but,acp-cc
what,what,crq-q
prevention,prevention,n1
BISHOP,,
OF,,
CANTERBURY,,
The,the,d
King,king,n1
is,be,vvz
full,full,j
of,of,acp-p
grace,grace,n1
and,and,cc
fair,fair,j
regard,regard,n1
BISHOP,,
OF,,
ELY,,
And,and,cc
a,a,d
true,true,j
lover,lover,n1
of,of,acp-p
the,the,d
