standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Barnardo,,
and,,
Francisco,,
two,,
sentinels,,
BARNARDO,,
Who's,who|be,crq-q|vvz
there,there,acp-av
FRANCISCO,,
Nay,nay,uh
answer,answer,vvb
me,i,pno
Stand,stand,vvb
and,and,cc
unfold,unfold,vvd
yourself,yourself,px
BARNARDO,,
Long,long,av_j
live,live,vvb
the,the,d
King,king,n1
FRANCISCO,,
Barnardo,Bernardo,n1-nn
BARNARDO,,
He,he,pns
FRANCISCO,,
You,you,pn
come,come,vvb
most,most,av-s_d
carefully,careful,av_j
upon,upon,acp-p
your,your,po
hour,hour,n1
BARNARDO,,
'Tis,it|be,pn|vvz
now,now,av
struck,strike,vvn
twelve,twelve,crd
Get,get,vvb
thee,thou,pno
to,to,acp-p
bed,bed,n1
Francisco,Francisco,n1-nn
FRANCISCO,,
For,for,acp-p
this,this,d
relief,relief,n1
much,much,av_d
thanks,thank,n2
'Tis,it|be,pn|vvz
bitter,bitter,j
cold,cold,j
And,and,cc
I,i,pns
am,be,vvm
sick,sick,j
at,at,acp-p
heart,heart,n1
BARNARDO,,
Have,have,vvb
you,you,pn
had,have,vvn
quiet,quiet,j
guard,guard,n1
FRANCISCO,,
Not,not,xx
a,a,d
mouse,mouse,n1
stirring,stir,vvg
BARNARDO,,
Well,well,uh_mi
good,good,j
night,night,n1
If,if,cs
you,you,pn
do,do,vvb
meet,meet,vvi
Horatio,Horatio,n1-nn
and,and,cc
Marcellus,Marcellus,n1-nn
The,the,d
rivals,rival,n2
of,of,acp-p
my,my,po
watch,watch,n1
bid,bid,vvb
them,they,pno
make,make,vvi
haste,haste,n1
Enter,,
Horatio,,
and,,
Marcellus,,
FRANCISCO,,
I,i,pns
think,think,vvb
I,i,pns
hear,hear,vvb
them,they,pno
Stand,stand,vvb
ho,ho,uh
Who,who,crq-q
is,be,vvz
there,there,acp-av
HORATIO,,
Friends,friend,n2
to,to,acp-p
this,this,d
ground,ground,n1
MARCELLUS,,
And,and,cc
liegemen,liegeman,n2
to,to,acp-p
the,the,d
Dane,Dane,n1-nn
FRANCISCO,,
Give,give,vvb
you,you,pn
good,good,j
night,night,n1
MARCELLUS,,
O,oh,uh
farewell,farewell,uh_n
honest,honest,j
soldier,soldier,n1
Who,who,crq-q
hath,have,vvz
relieved,relieve,vvn
you,you,pn
FRANCISCO,,
Barnardo,Bernardo,n1-nn
hath,have,vvz
my,my,po
place,place,n1
Give,give,vvb
you,you,pn
good,good,j
night,night,n1
Francisco,,
exits,,
MARCELLUS,,
Holla,holla,uh
Barnardo,Bernardo,n1-nn
BARNARDO,,
Say,say,vvb
what,what,crq-q
is,be,vvz
Horatio,Horatio,n1-nn
there,there,acp-av
HORATIO,,
A,a,d
piece,piece,n1
of,of,acp-p
him,he,pno
BARNARDO,,
Welcome,welcome,uh_j
Horatio,Horatio,n1-nn
Welcome,welcome,uh_j
good,good,j
Marcellus,Marcellus,n1-nn
HORATIO,,
What,what,crq-q
has,have,vvz
this,this,d
thing,thing,n1
appeared,appear,vvn
again,again,av
tonight,tonight,av
BARNARDO,,
I,i,pns
have,have,vvb
seen,see,vvn
nothing,nothing,pi-x
MARCELLUS,,
Horatio,Horatio,n1-nn
says,say,vvz
'tis,it|be,pn|vvz
but,but,acp-p
our,our,po
fantasy,fantasy,n1
And,and,cc
will,will,vmb
not,not,xx
let,let,vvi
belief,belief,n1
take,take,vvi
hold,hold,n1
of,of,acp-p
him,he,pno
Touching,touch,vvg
this,this,d
dreaded,dread,j_vn
sight,sight,n1
twice,twice,av
seen,see,vvn
of,of,acp-p
us,we,pno
Therefore,therefore,av
I,i,pns
have,have,vvb
entreated,entreat,vvn
him,he,pno
along,along,acp-av
With,with,acp-p
us,we,pno
