standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Flavius,,
Marullus,,
and,,
certain,,
Commoners,,
including,,
a,,
Carpenter,,
and,,
a,,
Cobbler,,
over,,
the,,
stage,,
FLAVIUS,,
Hence,hence,av
Home,home,av_n
you,you,pn
idle,idle,j
creatures,creature,n2
get,get,vvb
you,you,pn
home,home,av_n
Is,be,vvz
this,this,d
a,a,d
holiday,holiday,n1
What,what,crq-q
know,know,vvb
you,you,pn
not,not,xx
Being,be,vvg
mechanical,mechanical,j
you,you,pn
ought,ought,vmd
not,not,xx
walk,walk,vvi
Upon,upon,acp-p
a,a,d
laboring,labour,j_vg
day,day,n1
without,without,acp-p
the,the,d
sign,sign,n1
Of,of,acp-p
your,your,po
profession,profession,n1
Speak,speak,vvb
what,what,crq-q
trade,trade,n1
art,be,vv2
thou,thou,pns
CARPENTER,,
Why,why,crq-cs
sir,sir,n1
a,a,d
carpenter,carpenter,n1
MARULLUS,,
Where,where,crq-q
is,be,vvz
thy,thy,po
leather,leather,n1
apron,apron,n1
and,and,cc
thy,thy,po
rule,rule,n1
What,what,crq-q
dost,do,vv2
thou,thou,pns
with,with,acp-p
thy,thy,po
best,best,j-s
apparel,apparel,n1
on,on,acp-p
You,you,pn
sir,sir,n1
what,what,crq-q
trade,trade,n1
are,be,vvb
you,you,pn
COBBLER,,
Truly,true,av_j
sir,sir,n1
in,in,acp-p
respect,respect,n1
of,of,acp-p
a,a,d
fine,fine,j
workman,workman,n1
I,i,pns
am,be,vvm
but,but,acp-av
as,as,acp-cs
you,you,pn
would,will,vmd
say,say,vvi
a,a,d
cobbler,cobbler,n1
MARULLUS,,
But,but,acp-cc
what,what,crq-q
trade,trade,n1
art,be,vv2
thou,thou,pns
Answer,answer,vvb
me,i,pno
directly,direct,av_j
COBBLER,,
A,a,d
trade,trade,n1
sir,sir,n1
that,that,cs
I,i,pns
hope,hope,vvb
I,i,pns
may,may,vmb
use,use,vvi
with,with,acp-p
a,a,d
safe,safe,j
conscience,conscience,n1
which,which,crq-r
is,be,vvz
indeed,indeed,av
sir,sir,n1
a,a,d
mender,mender,n1
of,of,acp-p
bad,bad,j
soles,sole,n2
FLAVIUS,,
What,what,crq-q
trade,trade,n1
thou,thou,pns
knave,knave,n1
Thou,thou,pns
naughty,naughty,j
knave,knave,n1
what,what,crq-q
trade,trade,n1
COBBLER,,
Nay,nay,uh
I,i,pns
beseech,beseech,vvb
you,you,pn
sir,sir,n1
be,be,vvb
not,not,xx
out,out,av
with,with,acp-p
me,i,pno
Yet,yet,av
if,if,cs
you,you,pn
be,be,vvb
out,out,av
sir,sir,n1
I,i,pns
can,can,vmb
mend,mend,vvi
you,you,pn
MARULLUS,,
What,what,crq-q
mean'st,mean,vv2
thou,thou,pns
by,by,acp-p
that,that,d
Mend,mend,vvb
me,i,pno
thou,thou,pns
saucy,saucy,j
fellow,fellow,n1
COBBLER,,
Why,why,crq-cs
sir,sir,n1
cobble,cobble,vvb
you,you,pn
FLAVIUS,,
Thou,thou,pns
art,be,vv2
a,a,d
cobbler,cobbler,n1
art,be,vv2
thou,thou,pns
COBBLER,,
Truly,true,av_j
sir,sir,n1
all,all,d
that,that,cs
I,i,pns
live,live,vvb
by,by,acp-av
is,be,vvz
with,with,acp-p
the,the,d
awl,awl,n1
I,i,pns
meddle,meddle,vvb
with,with,acp-p
no,no,d-x
tradesman's,tradesman,n1g
matters,matter,n2
nor,nor,cc-x
women's,woman,n2g
matters,matter,n2
but,but,acp-cc
withal,withal,av
I,i,pns
am,be,vvm
indeed,indeed,av
sir,sir,n1
a,a,d
surgeon,surgeon,n1
to,to,acp-p
old,old,j
shoes,shoe,n2
when,when,crq-cs
they,they,pns
are,be,vvb
in,in,acp-p
great,great,j
