standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Ferdinand,,
King,,
of,,
Navarre,,
Berowne,,
Longaville,,
and,,
Dumaine,,
KING,,
Let,let,vvb
fame,fame,n1
that,that,cs
all,all,d
hunt,hunt,vvb
after,after,acp-av
in,in,acp-p
their,their,po
lives,life,n2
Live,live,vvi
registered,register,vvn
upon,upon,acp-p
our,our,po
brazen,brazen,j
tombs,tomb,n2
And,and,cc
then,then,av
grace,grace,vvb
us,we,pno
in,in,acp-p
the,the,d
disgrace,disgrace,n1
of,of,acp-p
death,death,n1
When,when,crq-cs
spite,spite,n1
of,of,acp-p
cormorant,cormorant,n1
devouring,devour,j_vg
time,time,n1
Th',the,d
endeavor,endeavour,n1
of,of,acp-p
this,this,d
present,present,j
breath,breath,n1
may,may,vmb
buy,buy,vvi
That,that,d
honor,honour,n1
which,which,crq-r
shall,shall,vmb
bate,bate,vvi
his,his,po
scythe's,scythe,n1g
keen,keen,j
edge,edge,n1
And,and,cc
make,make,vvb
us,we,pno
heirs,heir,n2
of,of,acp-p
all,all,d
eternity,eternity,n1
Therefore,therefore,av
brave,brave,j
conquerors,conqueror,n2
for,for,acp-p
so,so,av
you,you,pn
are,be,vvb
That,that,d
war,war,n1
against,against,acp-p
your,your,po
own,own,d
affections,affection,n2
And,and,cc
the,the,d
huge,huge,j
army,army,n1
of,of,acp-p
the,the,d
world's,world,n1g
desires,desire,n2
Our,our,po
late,late,j
edict,edict,n1
shall,shall,vmb
strongly,strong,av_j
stand,stand,vvi
in,in,acp-p
force,force,n1
Navarre,Navarre,n1-nn
shall,shall,vmb
be,be,vvi
the,the,d
wonder,wonder,n1
of,of,acp-p
the,the,d
world,world,n1
Our,our,po
court,court,n1
shall,shall,vmb
be,be,vvi
a,a,d
little,little,j
academe,academe,n1
Still,still,av
and,and,cc
contemplative,contemplative,j
in,in,acp-p
living,live,j_vg
art,art,n1
You,you,pn
three,three,crd
Berowne,Berowne,n1-nn
Dumaine,Dumain,n1-nn
and,and,cc
Longaville,Longaville,n1-nn
Have,have,vvb
sworn,swear,vvn
for,for,acp-p
three,three,crd
years',year,n2g
term,term,n1
to,to,acp-cs
live,live,vvi
with,with,acp-p
me,i,pno
My,my,po
fellow,fellow,n1
scholars,scholar,n2
and,and,cc
to,to,acp-cs
keep,keep,vvi
those,those,d
statutes,statute,n2
That,that,cs
are,be,vvb
recorded,record,vvn
in,in,acp-p
this,this,d
schedule,schedule,n1
here,here,av
He,,
holds,,
up,,
a,,
scroll,,
Your,your,po
oaths,oath,n2
are,be,vvb
passed,pass,vvn
and,and,cc
now,now,av
subscribe,subscribe,vvb
your,your,po
names,name,n2
That,that,cs
his,his,po
own,own,d
hand,hand,n1
may,may,vmb
strike,strike,vvi
his,his,po
honor,honour,n1
down,down,acp-av
That,that,d
violates,violate,vvz
the,the,d
smallest,small,j-s
branch,branch,n1
herein,herein,av
If,if,cs
you,you,pn
are,be,vvb
armed,arm,vvn
to,to,acp-cs
do,do,vvi
as,as,acp-cs
sworn,swear,vvn
to,to,acp-cs
do,do,vvi
Subscribe,subscribe,vvb
to,to,acp-p
your,your,po
deep,deep,j
oaths,oath,n2
and,and,cc
keep,keep,vvb
it,it,pn
too,too,av
LONGAVILLE,,
I,i,pns
am,be,vvm
resolved,resolve,vvn
'Tis,it|be,pn|vvz
but,but,acp-p
a,a,d
three,three,crd
years',year,n2g
fast,fast,n1
The,the,d
mind,mind,n1
shall,shall,vmb
banquet,banquet,vvi
though,though,cs
the,the,d
body,body,n1
pine,pine,vvb
Fat,fat,j
paunches,paunch,n2
have,have,vvb
lean,lean,j
pates,pate,n2
and,and,cc
dainty,dainty,j
bits,bit,n2
Make,make,vvb
rich,rich,j
the,the,d
ribs,rib,n2
