standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Kent,,
Gloucester,,
and,,
Edmund,,
KENT,,
I,i,pns
thought,think,vvd
the,the,d
King,king,n1
had,have,vvd
more,more,av-c_d
affected,affect,vvn
the,the,d
Duke,duke,n1
of,of,acp-p
Albany,Albany,n1-nn
than,than,cs
Cornwall,Cornwall,n1-nn
GLOUCESTER,,
It,it,pn
did,do,vvd
always,always,av
seem,seem,vvi
so,so,av
to,to,acp-p
us,we,pno
but,but,acp-cc
now,now,av
in,in,acp-p
the,the,d
division,division,n1
of,of,acp-p
the,the,d
kingdom,kingdom,n1
it,it,pn
appears,appear,vvz
not,not,xx
which,which,crq-r
of,of,acp-p
the,the,d
dukes,duke,n2
he,he,pns
values,value,vvz
most,most,d-s
for,for,acp-p
equalities,equality,n2
are,be,vvb
so,so,av
weighed,weigh,vvn
that,that,cs
curiosity,curiosity,n1
in,in,acp-p
neither,neither,d-x
can,can,vmb
make,make,vvi
choice,choice,n1
of,of,acp-p
either's,either,pig_d
moiety,moiety,n1
KENT,,
Is,be,vvz
not,not,xx
this,this,d
your,your,po
son,son,n1
my,my,po
lord,lord,n1
GLOUCESTER,,
His,his,po
breeding,breed,n1_vg
sir,sir,n1
hath,have,vvz
been,be,vvn
at,at,acp-p
my,my,po
charge,charge,n1
I,i,pns
have,have,vvb
so,so,av
often,often,av
blushed,blush,vvn
to,to,acp-cs
acknowledge,acknowledge,vvi
him,he,pno
that,that,cs
now,now,av
I,i,pns
am,be,vvm
brazed,braze,vvn
to,to,acp-p
't,it,pn
KENT,,
I,i,pns
cannot,can,vmb-x
conceive,conceive,vvi
you,you,pn
GLOUCESTER,,
Sir,sir,n1
this,this,d
young,young,j
fellow's,fellow,n1g
mother,mother,n1
could,can,vmd
whereupon,whereupon,crq-cs
she,she,pns
grew,grow,vvd
round-wombed,round-wombed,j
and,and,cc
had,have,vvd
indeed,indeed,av
sir,sir,n1
a,a,d
son,son,n1
for,for,acp-p
her,her,po
cradle,cradle,n1
ere,ere,acp-cs
she,she,pns
had,have,vvd
a,a,d
husband,husband,n1
for,for,acp-p
her,her,po
bed,bed,n1
Do,do,vvb
you,you,pn
smell,smell,vvi
a,a,d
fault,fault,n1
KENT,,
I,i,pns
cannot,can,vmb-x
wish,wish,vvi
the,the,d
fault,fault,n1
undone,undo,vvn
the,the,d
issue,issue,n1
of,of,acp-p
it,it,pn
being,be,vvg
so,so,av
proper,proper,j
GLOUCESTER,,
But,but,acp-cc
I,i,pns
have,have,vvb
a,a,d
son,son,n1
sir,sir,n1
by,by,acp-p
order,order,n1
of,of,acp-p
law,law,n1
some,some,d
year,year,n1
elder,elder,j-c
than,than,cs
this,this,d
who,who,crq-r
yet,yet,av
is,be,vvz
no,no,av-x_d
dearer,dear,j-c
in,in,acp-p
my,my,po
account,account,n1
Though,though,cs
this,this,d
knave,knave,n1
came,come,vvd
something,something,pi
saucily,saucy,av_j
to,to,acp-p
the,the,d
world,world,n1
before,before,acp-cs
he,he,pns
was,be,vvd
sent,send,vvn
for,for,acp-p
yet,yet,av
was,be,vvd
his,his,po
mother,mother,n1
fair,fair,j
there,there,acp-av
was,be,vvd
good,good,j
sport,sport,n1
at,at,acp-p
his,his,po
making,make,n1_vg
and,and,cc
the,the,d
whoreson,whoreson,n1
must,must,vmb
be,be,vvi
acknowledged,acknowledge,vvn
Do,do,vvb
you,you,pn
know,know,vvi
this,this,d
noble,noble,j
gentleman,gentleman,n1
Edmund,Edmund,n1-nn
EDMUND,,
No,no,uh-x
my,my,po
lord,lord,n1
GLOUCESTER,,
My,my,po
lord,lord,n1
of,of,acp-p
Kent,Kent,n1-nn
Remember,remember,vvb
him,he,pno
hereafter,hereafter,av
as,as,acp-p
my,my,po
