standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Theseus,,
Hippolyta,,
and,,
Philostrate,,
with,,
others,,
THESEUS,,
Now,now,av
fair,fair,j
Hippolyta,Hippolyta,n1-nn
our,our,po
nuptial,nuptial,j
hour,hour,n1
Draws,draw,vvz
on,on,acp-p
apace,apace,av
Four,four,crd
happy,happy,j
days,day,n2
bring,bring,vvb
in,in,acp-p
Another,another,d
moon,moon,n1
But,but,acp-cc
O,oh,uh
methinks,methinks,vvz
how,how,crq-cs
slow,slow,j
This,this,d
old,old,j
moon,moon,n1
wanes,wane,vvz
She,she,pns
lingers,linger,vvz
my,my,po
desires,desire,n2
Like,like,acp-p
to,to,acp-p
a,a,d
stepdame,stepdame,n1
or,or,cc
a,a,d
dowager,dowager,n1
Long,long,av_j
withering,wither,vvg
out,out,av
a,a,d
young,young,j
man's,man,n1g
revenue,revenue,n1
HIPPOLYTA,,
Four,four,crd
days,day,n2
will,will,vmb
quickly,quick,av_j
steep,steep,vvi
themselves,themselves,px
in,in,acp-p
night,night,n1
Four,four,crd
nights,night,n2
will,will,vmb
quickly,quick,av_j
dream,dream,vvi
away,away,av
the,the,d
time,time,n1
And,and,cc
then,then,av
the,the,d
moon,moon,n1
like,like,acp-p
to,to,acp-p
a,a,d
silver,silver,n1
bow,bow,n1
New-bent,new-bent,j
in,in,acp-p
heaven,heaven,n1
shall,shall,vmb
behold,behold,vvi
the,the,d
night,night,n1
Of,of,acp-p
our,our,po
solemnities,solemnity,n2
THESEUS,,
Go,go,vvb
Philostrate,Philostrate,n1-nn
Stir,stir,vvb
up,up,acp-av
the,the,d
Athenian,Athenian,j-nn
youth,youth,n1
to,to,acp-p
merriments,merriment,n2
Awake,awake,vvb
the,the,d
pert,pert,j
and,and,cc
nimble,nimble,j
spirit,spirit,n1
of,of,acp-p
mirth,mirth,n1
Turn,turn,vvb
melancholy,melancholy,n1_j
forth,forth,av
to,to,acp-p
funerals,funeral,n2
The,the,d
pale,pale,j
companion,companion,n1
is,be,vvz
not,not,xx
for,for,acp-p
our,our,po
pomp,pomp,n1
Philostrate,,
exits,,
Hippolyta,Hippolyta,n1-nn
I,i,pns
wooed,woo,vvd
thee,thou,pno
with,with,acp-p
my,my,po
sword,sword,n1
And,and,cc
won,win,vvd
thy,thy,po
love,love,n1
doing,do,vvg
thee,thou,pno
injuries,injury,n2
But,but,acp-cc
I,i,pns
will,will,vmb
wed,wed,vvi
thee,thou,pno
in,in,acp-p
another,another,d
key,key,n1
With,with,acp-p
pomp,pomp,n1
with,with,acp-p
triumph,triumph,n1
and,and,cc
with,with,acp-p
reveling,revel,vvg
Enter,,
Egeus,,
and,,
his,,
daughter,,
Hermia,,
and,,
Lysander,,
and,,
Demetrius,,
EGEUS,,
Happy,happy,j
be,be,vvb
Theseus,Theseus,n1-nn
our,our,po
renownèd,renown,j_vn
duke,duke,n1
THESEUS,,
Thanks,thank,n2
good,good,j
Egeus,Egeus,n1-nn
What's,what|be,crq-q|vvz
the,the,d
news,news,n1
with,with,acp-p
thee,thou,pno
EGEUS,,
Full,full,j
of,of,acp-p
vexation,vexation,n1
come,come,vvb
I,i,pns
with,with,acp-p
complaint,complaint,n1
Against,against,acp-p
my,my,po
child,child,n1
my,my,po
daughter,daughter,n1
Hermia,Hermia,n1-nn
Stand,stand,vvb
forth,forth,av
Demetrius,Demetrius,n1-nn
My,my,po
noble,noble,j
lord,lord,n1
This,this,d
man,man,n1
hath,have,vvz
my,my,po
consent,consent,n1
to,to,acp-cs
marry,marry,vvi
her,she,pno
Stand,stand,vvb
forth,forth,av
Lysander,Lysander,n1-nn
And,and,cc
my,my,po
gracious,gracious,j
duke,duke,n1
This,this,d
man,man,n1
hath,have,vvz
bewitched,bewitch,vvn
