standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Antonio,,
Salarino,,
and,,
Solanio,,
ANTONIO,,
In,in,acp-p
sooth,sooth,n1
I,i,pns
know,know,vvb
not,not,xx
why,why,crq-cs
I,i,pns
am,be,vvm
so,so,av
sad,sad,j
It,it,pn
wearies,weary,vvz
me,i,pno
you,you,pn
say,say,vvb
it,it,pn
wearies,weary,vvz
you,you,pn
But,but,acp-cc
how,how,crq-cs
I,i,pns
caught,catch,vvd
it,it,pn
found,find,vvd
it,it,pn
or,or,cc
came,come,vvd
by,by,acp-p
it,it,pn
What,what,crq-q
stuff,stuff,n1
'tis,it|be,pn|vvz
made,make,vvn
of,of,acp-p
whereof,whereof,crq-cs
it,it,pn
is,be,vvz
born,bear,vvn
I,i,pns
am,be,vvm
to,to,acp-cs
learn,learn,vvi
And,and,cc
such,such,d
a,a,d
want-wit,want-wit,n1
sadness,sadness,n1
makes,make,vvz
of,of,acp-p
me,i,pno
That,that,cs
I,i,pns
have,have,vvb
much,much,d
ado,ado,n1
to,to,acp-cs
know,know,vvi
myself,myself,px
SALARINO,,
Your,your,po
mind,mind,n1
is,be,vvz
tossing,toss,vvg
on,on,acp-p
the,the,d
ocean,ocean,n1
There,there,acp-av
where,where,crq-cs
your,your,po
argosies,argosy,n2
with,with,acp-p
portly,portly,j
sail,sail,n1
Like,like,acp-p
signiors,signior,n2
and,and,cc
rich,rich,j
burghers,burgher,n2
on,on,acp-p
the,the,d
flood,flood,n1
Or,or,cc
as,as,acp-cs
it,it,pn
were,be,vvd
the,the,d
pageants,pageant,n2
of,of,acp-p
the,the,d
sea,sea,n1
Do,do,vvb
overpeer,overpeer,vvi
the,the,d
petty,petty,j
traffickers,trafficker,n2
That,that,cs
curtsy,curtsy,n1
to,to,acp-p
them,they,pno
do,do,vvb
them,they,pno
reverence,reverence,n1
As,as,acp-cs
they,they,pns
fly,fly,vvb
by,by,acp-p
them,they,pno
with,with,acp-p
their,their,po
woven,weave,j_vn
wings,wing,n2
SOLANIO,,
Believe,believe,vvb
me,i,pno
sir,sir,n1
had,have,vvd
I,i,pns
such,such,d
venture,venture,n1
forth,forth,av
The,the,d
better,better,j-c
part,part,n1
of,of,acp-p
my,my,po
affections,affection,n2
would,will,vmd
Be,be,vvi
with,with,acp-p
my,my,po
hopes,hope,n2
abroad,abroad,av
I,i,pns
should,shall,vmd
be,be,vvi
still,still,j
Plucking,pluck,vvg
the,the,d
grass,grass,n1
to,to,acp-cs
know,know,vvi
where,where,crq-cs
sits,sit,vvz
the,the,d
wind,wind,n1
Piring,peer,vvg
in,in,acp-p
maps,map,n2
for,for,acp-p
ports,port,n2
and,and,cc
piers,pier,n2
and,and,cc
roads,road,n2
And,and,cc
every,every,d
object,object,n1
that,that,cs
might,may,vmd
make,make,vvi
me,i,pno
fear,fear,vvi
Misfortune,misfortune,n1
to,to,acp-p
my,my,po
ventures,venture,n2
out,out,av
of,of,acp-p
doubt,doubt,n1
Would,will,vmd
make,make,vvi
me,i,pno
sad,sad,j
SALARINO,,
My,my,po
wind,wind,n1
cooling,cool,vvg
my,my,po
broth,broth,n1
Would,will,vmd
blow,blow,vvi
me,i,pno
to,to,acp-p
an,a,d
ague,ague,n1
when,when,crq-cs
I,i,pns
thought,think,vvd
What,what,crq-r
harm,harm,n1
a,a,d
wind,wind,n1
too,too,av
great,great,j
might,may,vmd
do,do,vvi
at,at,acp-p
sea,sea,n1
I,i,pns
should,shall,vmd
not,not,xx
see,see,vvi
the,the,d
sandy,sandy,j
hourglass,hourglass,n1
run,run,vvi
But,but,acp-cc
I,i,pns
should,shall,vmd
think,think,vvi
of,of,acp-p
shallows,shallow,n2_j
and,and,cc
of,of,acp-p
flats,flat,n2
And,and,cc
see,see,vvb
