standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Roderigo,,
and,,
Iago,,
RODERIGO,,
Tush,tush,uh
never,never,av-x
tell,tell,vvb
me,i,pno
I,i,pns
take,take,vvb
it,it,pn
much,much,av_d
unkindly,unkind,av_j
That,that,cs
thou,thou,pns
Iago,Iago,n1-nn
who,who,crq-r
hast,have,vv2
had,have,vvn
my,my,po
purse,purse,n1
As,as,acp-cs
if,if,cs
the,the,d
strings,string,n2
were,be,vvd
thine,thou,png
shouldst,shall,vmd2
know,know,vvi
of,of,acp-p
this,this,d
IAGO,,
'Sblood,sblood,uh
but,but,acp-cc
you'll,you|will,pn|vmb
not,not,xx
hear,hear,vvi
me,i,pno
If,if,cs
ever,ever,av
I,i,pns
did,do,vvd
dream,dream,vvi
of,of,acp-p
such,such,d
a,a,d
matter,matter,n1
Abhor,abhor,vvb
me,i,pno
RODERIGO,,
Thou,thou,pns
toldst,tell,vvd2
me,i,pno
thou,thou,pns
didst,do,vvd2
hold,hold,vvi
him,he,pno
in,in,acp-p
thy,thy,po
hate,hate,n1
IAGO,,
Despise,despise,vvb
me,i,pno
If,if,cs
I,i,pns
do,do,vvb
not,not,xx
Three,three,crd
great,great,j
ones,one,pi2
of,of,acp-p
the,the,d
city,city,n1
In,in,acp-p
personal,personal,j
suit,suit,n1
to,to,acp-cs
make,make,vvi
me,i,pno
his,his,po
lieutenant,lieutenant,n1
Off-capped,off-cap,vvd
to,to,acp-p
him,he,pno
and,and,cc
by,by,acp-p
the,the,d
faith,faith,n1
of,of,acp-p
man,man,n1
I,i,pns
know,know,vvb
my,my,po
price,price,n1
I,i,pns
am,be,vvm
worth,worth,j
no,no,av-x_d
worse,worse,av-c_j
a,a,d
place,place,n1
But,but,acp-cc
he,he,pns
as,as,acp-cs
loving,love,vvg
his,his,po
own,own,d
pride,pride,n1
and,and,cc
purposes,purpose,n2
Evades,evade,vvz
them,they,pno
with,with,acp-p
a,a,d
bombast,bombast,n1
circumstance,circumstance,n1
Horribly,horrible,av_j
stuffed,stuff,vvn
with,with,acp-p
epithets,epithet,n2
of,of,acp-p
war,war,n1
And,and,cc
in,in,acp-p
conclusion,conclusion,n1
Nonsuits,nonsuit,vvz
my,my,po
mediators,mediator,n2
For,for,acp-p
Certes,certes,av
says,say,vvz
he,he,pns
I,i,pns
have,have,vvb
already,already,av
chose,choose,vvn
my,my,po
officer,officer,n1
And,and,cc
what,what,crq-q
was,be,vvd
he,he,pns
Forsooth,forsooth,uh
a,a,d
great,great,j
arithmetician,arithmetician,n1
One,one,crd
Michael,Michael,n1-nn
Cassio,Cassio,n1-nn
a,a,d
Florentine,Florentine,j-nn
A,a,d
fellow,fellow,n1
almost,almost,av
damned,damn,vvn
in,in,acp-p
a,a,d
fair,fair,j
wife,wife,n1
That,that,cs
never,never,av-x
set,set,vvb
a,a,d
squadron,squadron,n1
in,in,acp-p
the,the,d
field,field,n1
Nor,nor,cc-x
the,the,d
division,division,n1
of,of,acp-p
a,a,d
battle,battle,n1
knows,know,vvz
More,more,d-c
than,than,cs
a,a,d
spinster,spinster,n1
unless,unless,cs
the,the,d
bookish,bookish,j
theoric,theoric,n1
Wherein,wherein,crq-cs
the,the,d
togèd,toged,j
consuls,consul,n2
can,can,vmb
propose,propose,vvi
As,as,acp-av
masterly,masterly,j
as,as,acp-cs
he,he,pns
Mere,mere,j
prattle,prattle,n1
without,without,acp-p
practice,practice,n1
Is,be,vvz
all,all,d
his,his,po
soldiership,soldiership,n1
But,but,acp-cc
he,he,pns
sir,sir,n1
had,have,vvd
th',the,d
election,election,n1
And,and,cc
I,i,pns
of,of,acp-p
whom,who,crq-ro
his,his,po
eyes,eye,n2
had,have,vvd
seen,see,vvn
the,the,d
proof,proof,n1
