standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Richard,,
Duke,,
of,,
Gloucester,,
alone,,
RICHARD,,
Now,now,av
is,be,vvz
the,the,d
winter,winter,n1
of,of,acp-p
our,our,po
discontent,discontent,n1_j
Made,make,vvn
glorious,glorious,j
summer,summer,n1
by,by,acp-p
this,this,d
son,son,n1
of,of,acp-p
York,York,n1-nn
And,and,cc
all,all,d
the,the,d
clouds,cloud,n2
that,that,cs
loured,lour,vvd
upon,upon,acp-p
our,our,po
house,house,n1
In,in,acp-p
the,the,d
deep,deep,j
bosom,bosom,n1
of,of,acp-p
the,the,d
ocean,ocean,n1
buried,bury,vvn
Now,now,av
are,be,vvb
our,our,po
brows,brow,n2
bound,bind,vvn
with,with,acp-p
victorious,victorious,j
wreaths,wreath,n2
Our,our,po
bruisèd,bruise,j_vn
arms,arm,n2
hung,hang,vvd
up,up,acp-av
for,for,acp-p
monuments,monument,n2
Our,our,po
stern,stern,j
alarums,alarm,n2
changed,change,vvn
to,to,acp-p
merry,merry,j
meetings,meeting,n2
Our,our,po
dreadful,dreadful,j
marches,march,n2
to,to,acp-p
delightful,delightful,j
measures,measure,n2
Grim-visaged,grim-visaged,j
war,war,n1
hath,have,vvz
smoothed,smooth,vvn
his,his,po
wrinkled,wrinkle,j_vn
front,front,n1
And,and,cc
now,now,av
instead,instead,acp-p
of,of,acp-p
mounting,mount,vvg
barbèd,barb,j_vn
steeds,steed,n2
To,to,acp-p
fright,fright,vvi
the,the,d
souls,soul,n2
of,of,acp-p
fearful,fearful,j
adversaries,adversary,n2
He,he,pns
capers,caper,vvz
nimbly,nimble,av_j
in,in,acp-p
a,a,d
lady's,lady,n1g
chamber,chamber,n1
To,to,acp-p
the,the,d
lascivious,lascivious,j
pleasing,please,n1_vg
of,of,acp-p
a,a,d
lute,lute,n1
But,but,acp-cc
I,i,pns
that,that,cs
am,be,vvm
not,not,xx
shaped,shape,vvn
for,for,acp-p
sportive,sportive,j
tricks,trick,n2
Nor,nor,cc-x
made,make,vvn
to,to,acp-p
court,court,vvi
an,a,d
amorous,amorous,j
looking,looking,j_vg
glass,glass,n1
I,i,pns
that,that,cs
am,be,vvm
rudely,rude,av_j
stamped,stamp,vvn
and,and,cc
want,want,vvb
love's,love,n1g
majesty,majesty,n1
To,to,acp-cs
strut,strut,vvi
before,before,acp-p
a,a,d
wanton,wanton,j
ambling,amble,j_vg
nymph,nymph,n1
I,i,pns
that,that,cs
am,be,vvm
curtailed,curtail,vvn
of,of,acp-p
this,this,d
fair,fair,j
proportion,proportion,n1
Cheated,cheat,vvn
of,of,acp-p
feature,feature,n1
by,by,acp-p
dissembling,dissemble,j_vg
nature,nature,n1
Deformed,deform,vvn
unfinished,unfinished,j_vn
sent,send,vvn
before,before,acp-p
my,my,po
time,time,n1
Into,into,acp-p
this,this,d
breathing,breathe,j_vg
world,world,n1
scarce,scarce,av_j
half,half,j
made,make,vvn
up,up,acp-av
And,and,cc
that,that,d
so,so,av
lamely,lame,av_j
and,and,cc
unfashionable,unfashionable,j
That,that,cs
dogs,dog,n2
bark,bark,vvb
at,at,acp-p
me,i,pno
as,as,acp-cs
I,i,pns
halt,halt,vvb
by,by,acp-p
them,they,pno
Why,why,crq-cs
I,i,pns
in,in,acp-p
this,this,d
weak,weak,j
piping,pipe,j_vg
time,time,n1
of,of,acp-p
peace,peace,n1
Have,have,vvb
no,no,d-x
delight,delight,n1
to,to,acp-cs
pass,pass,vvi
away,away,av
the,the,d
time,time,n1
Unless,unless,cs
to,to,acp-cs
see,see,vvi
my,my,po
shadow,shadow,n1
in,in,acp-p
the,the,d
sun,sun,n1
And,and,cc
descant,descant,vvi
on,on,acp-p
mine,my,po
own,own,d
deformity,deformity,n1
And,and,cc
