standard,lemma,postag
THE,,
PROLOGUE,,
Enter,,
Chorus,,
Two,two,crd
households,household,n2
both,both,av_d
alike,alike,av
in,in,acp-p
dignity,dignity,n1
In,in,acp-p
fair,fair,j
Verona,Verona,n1-nn
where,where,crq-cs
we,we,pns
lay,lay,vvb
our,our,po
scene,scene,n1
From,from,acp-p
ancient,ancient,j
grudge,grudge,n1
break,break,vvb
to,to,acp-p
new,new,j
mutiny,mutiny,n1
Where,where,crq-cs
civil,civil,j
blood,blood,n1
makes,make,vvz
civil,civil,j
hands,hand,n2
unclean,unclean,j
From,from,acp-p
forth,forth,av
the,the,d
fatal,fatal,j
loins,loin,n2
of,of,acp-p
these,these,d
two,two,crd
foes,foe,n2
A,a,d
pair,pair,n1
of,of,acp-p
star-crossed,star-crossed,j
lovers,lover,n2
take,take,vvb
their,their,po
life,life,n1
Whose,who,crq-rg
misadventured,misadventure,j_vn
piteous,piteous,j
overthrows,overthrow,n2
Doth,do,vvz
with,with,acp-p
their,their,po
death,death,n1
bury,bury,vvi
their,their,po
parents',parent,n2g
strife,strife,n1
The,the,d
fearful,fearful,j
passage,passage,n1
of,of,acp-p
their,their,po
death-marked,death-marked,j
love,love,n1
And,and,cc
the,the,d
continuance,continuance,n1
of,of,acp-p
their,their,po
parents',parent,n2g
rage,rage,n1
Which,which,crq-r
but,but,acp-cc
their,their,po
children's,child,n2g
end,end,n1
naught,naught,pi-x
could,can,vmd
remove,remove,vvi
Is,be,vvz
now,now,av
the,the,d
two,two,crd
hours',hour,n2g
traffic,traffic,n1
of,of,acp-p
our,our,po
stage,stage,n1
The,the,d
which,which,crq-r
if,if,cs
you,you,pn
with,with,acp-p
patient,patient,j
ears,ear,n2
attend,attend,vvb
What,what,crq-q
here,here,av
shall,shall,vmb
miss,miss,vvi
our,our,po
toil,toil,n1
shall,shall,vmb
strive,strive,vvi
to,to,acp-cs
mend,mend,vvi
Chorus,,
exits,,
ACT,,
1,,
Scene,,
1,,
Enter,,
Sampson,,
and,,
Gregory,,
with,,
swords,,
and,,
bucklers,,
of,,
the,,
house,,
of,,
Capulet,,
SAMPSON,,
Gregory,Gregory,n1-nn
on,on,acp-p
my,my,po
word,word,n1
we'll,we|will,pns|vmb
not,not,xx
carry,carry,vvi
coals,coal,n2
GREGORY,,
No,no,uh-x
for,for,acp-p
then,then,av
we,we,pns
should,shall,vmd
be,be,vvi
colliers,collier,n2
SAMPSON,,
I,i,pns
mean,mean,vvb
an,an,cs
we,we,pns
be,be,vvb
in,in,acp-p
choler,choler,n1
we'll,we|will,pns|vmb
draw,draw,vvi
GREGORY,,
Ay,ay,uh
while,while,cs
you,you,pn
live,live,vvb
draw,draw,vvb
your,your,po
neck,neck,n1
out,out,av
of,of,acp-p
collar,collar,n1
SAMPSON,,
I,i,pns
strike,strike,vvb
quickly,quick,av_j
being,be,vvg
moved,move,vvn
GREGORY,,
But,but,acp-cc
thou,thou,pns
art,be,vv2
not,not,xx
quickly,quick,av_j
moved,move,vvn
to,to,acp-cs
strike,strike,vvi
SAMPSON,,
A,a,d
dog,dog,n1
of,of,acp-p
the,the,d
house,house,n1
of,of,acp-p
Montague,Montague,n1-nn
moves,move,vvz
me,i,pno
GREGORY,,
To,to,acp-cs
move,move,vvi
is,be,vvz
to,to,acp-cs
stir,stir,vvi
and,and,cc
to,to,acp-cs
be,be,vvi
valiant,valiant,j
is,be,vvz
to,to,acp-cs
stand,stand,vvi
Therefore,therefore,av
if,if,cs
thou,thou,pns
art,be,vv2
moved,move,vvn
thou,thou,pns
runn'st,run,vv2
away,away,av
SAMPSON,,
A,a,d
dog,dog,n1
of,of,acp-p
that,that,d
house,house,n1
shall,shall,vmb
move,move,vvi
me,i,pno
to,to,acp-cs
stand,stand,vvi
I,i,pns
will,will,vmb
take,take,vvi
the,the,d
wall,wall,n1
of,of,acp-p
any,any,d
man,man,n1
or,or,cc
maid,maid,n1
of,of,acp-p
Montague's,Montague,n1g-nn
GREGORY,,
That,that,cs
shows,show,vvz
thee,thou,pno
a,a,d
weak,weak,j
slave,slave,n1
for,for,acp-p
the,the,d
weakest,weak,j-s
goes,go,vvz
to,to,acp-p
the,the,d
wall,wall,n1
SAMPSON,,
'Tis,it|be,pn|vvz
true,true,j
and,and,cc
therefore,therefore,av
women,woman,n2
being,be,vvg
the,the,d
weaker,weak,j-c
vessels,vessel,n2
are,be,vvb
ever,ever,av
thrust,thrust,vvn
to,to,acp-p
the,the,d
wall,wall,n1
Therefore,therefore,av
I,i,pns
will,will,vmb
push,push,vvi
Montague's,Montague,n1g-nn
men,man,n2
from,from,acp-p
the,the,d
wall,wall,n1
and,and,cc
thrust,thrust,vvi
his,his,po
maids,maid,n2
to,to,acp-p
the,the,d
wall,wall,n1
GREGORY,,
The,the,d
quarrel,quarrel,n1
is,be,vvz
between,between,acp-p
our,our,po
masters,master,n2
and,and,cc
us,we,pno
their,their,po
men,man,n2
SAMPSON,,
'Tis,it|be,pn|vvz
all,all,d
one,one,pi
I,i,pns
will,will,vmb
show,show,vvi
myself,myself,px
a,a,d
tyrant,tyrant,n1
When,when,crq-cs
I,i,pns
have,have,vvb
fought,fight,vvn
with,with,acp-p
the,the,d
men,man,n2
I,i,pns
will,will,vmb
be,be,vvi
civil,civil,j
with,with,acp-p
the,the,d
maids,maid,n2
I,i,pns
will,will,vmb
cut,cut,vvi
off,off,acp-av
their,their,po
heads,head,n2
GREGORY,,
The,the,d
heads,head,n2
of,of,acp-p
the,the,d
maids,maid,n2
SAMPSON,,
Ay,ay,uh
the,the,d
heads,head,n2
of,of,acp-p
the,the,d
maids,maid,n2
or,or,cc
their,their,po
maidenheads,maidenhead,n2
Take,take,vvb
it,it,pn
in,in,acp-p
what,what,crq-r
sense,sense,n1
thou,thou,pns
wilt,will,vm2
GREGORY,,
They,they,pns
must,must,vmb
take,take,vvi
it,it,pn
in,in,acp-p
sense,sense,n1
that,that,cs
feel,feel,vvb
it,it,pn
SAMPSON,,
Me,i,pno
they,they,pns
shall,shall,vmb
feel,feel,vvi
while,while,cs
I,i,pns
am,be,vvm
able,able,j
to,to,acp-cs
stand,stand,vvi
and,and,cc
'tis,it|be,pn|vvz
known,know,vvn
I,i,pns
am,be,vvm
a,a,d
pretty,pretty,j
piece,piece,n1
of,of,acp-p
flesh,flesh,n1
GREGORY,,
'Tis,it|be,pn|vvz
well,well,av
thou,thou,pns
art,be,vv2
not,not,xx
fish,fish,n1
if,if,cs
thou,thou,pns
hadst,have,vvd2
thou,thou,pns
hadst,have,vvd2
been,be,vvn
poor-john,poor-john,n1
Draw,draw,vvb
thy,thy,po
tool,tool,n1
Here,here,av
comes,come,vvz
of,of,acp-p
the,the,d
house,house,n1
of,of,acp-p
Montagues,Montague,n2-nn
Enter,,
Abram,,
with,,
another,,
Servingman,,
SAMPSON,,
My,my,po
naked,naked,j
weapon,weapon,n1
is,be,vvz
out,out,av
Quarrel,quarrel,vvi
I,i,pns
will,will,vmb
back,back,av
thee,thou,pno
GREGORY,,
How,how,crq-cs
Turn,turn,vvb
thy,thy,po
back,back,n1
and,and,cc
run,run,vvb
SAMPSON,,
Fear,fear,vvb
me,i,pno
not,not,xx
GREGORY,,
No,no,uh-x
marry,marry,uh
I,i,pns
fear,fear,vvb
thee,thou,pno
SAMPSON,,
Let,let,vvb
us,we,pno
take,take,vvi
the,the,d
law,law,n1
of,of,acp-p
our,our,po
sides,side,n2
let,let,vvb
them,they,pno
begin,begin,vvi
GREGORY,,
I,i,pns
will,will,vmb
frown,frown,vvi
as,as,acp-cs
I,i,pns
pass,pass,vvb
by,by,acp-av
and,and,cc
let,let,vvb
them,they,pno
take,take,vvi
it,it,pn
as,as,acp-cs
they,they,pns
list,list,vvb
SAMPSON,,
Nay,nay,uh
as,as,acp-cs
they,they,pns
dare,dare,vvb
I,i,pns
will,will,vmb
bite,bite,vvi
my,my,po
thumb,thumb,n1
at,at,acp-p
them,they,pno
which,which,crq-r
is,be,vvz
disgrace,disgrace,n1
to,to,acp-p
them,they,pno
if,if,cs
they,they,pns
bear,bear,vvb
it,it,pn
He,,
bites,,
his,,
thumb,,
ABRAM,,
Do,do,vvb
you,you,pn
bite,bite,vvi
your,your,po
thumb,thumb,n1
at,at,acp-p
us,we,pno
sir,sir,n1
SAMPSON,,
I,i,pns
do,do,vvb
bite,bite,vvi
my,my,po
thumb,thumb,n1
sir,sir,n1
ABRAM,,
Do,do,vvb
you,you,pn
bite,bite,vvi
your,your,po
thumb,thumb,n1
at,at,acp-p
us,we,pno
sir,sir,n1
SAMPSON,,
aside,,
to,,
Gregory,,
Is,be,vvz
the,the,d
law,law,n1
of,of,acp-p
our,our,po
side,side,n1
if,if,cs
I,i,pns
say,say,vvb
Ay,ay,uh
GREGORY,,
aside,,
to,,
Sampson,,
No,no,uh-x
SAMPSON,,
No,no,uh-x
sir,sir,n1
I,i,pns
do,do,vvb
not,not,xx
bite,bite,vvi
my,my,po
thumb,thumb,n1
at,at,acp-p
you,you,pn
sir,sir,n1
but,but,acp-cc
I,i,pns
bite,bite,vvb
my,my,po
thumb,thumb,n1
sir,sir,n1
GREGORY,,
Do,do,vvb
you,you,pn
quarrel,quarrel,vvi
sir,sir,n1
ABRAM,,
Quarrel,quarrel,vvi
sir,sir,n1
No,no,uh-x
sir,sir,n1
SAMPSON,,
But,but,acp-cc
if,if,cs
you,you,pn
do,do,vvb
sir,sir,n1
I,i,pns
am,be,vvm
for,for,acp-p
you,you,pn
I,i,pns
serve,serve,vvb
as,as,acp-av
good,good,j
a,a,d
man,man,n1
as,as,acp-cs
you,you,pn
ABRAM,,
No,no,d-x
better,better,j-c
SAMPSON,,
Well,well,uh_mi
