standard,lemma,postag
INDUCTION,,
Scene,,
1,,
Enter,,
Beggar,,
Christopher,,
Sly,,
and,,
Hostess,,
SLY,,
I'll,i|will,pns|vmb
feeze,pheeze,vvi
you,you,pn
in,in,acp-p
faith,faith,n1
HOSTESS,,
A,a,d
pair,pair,n1
of,of,acp-p
stocks,stock,n2
you,you,pn
rogue,rogue,n1
SLY,,
You're,you|be,pn|vvb
a,a,d
baggage,baggage,n1
The,the,d
Slys,Sly,n2-nn
are,be,vvb
no,no,d-x
rogues,rogue,n2
Look,look,vvb
in,in,acp-p
the,the,d
chronicles,chronicle,n2
We,we,pns
came,come,vvd
in,in,acp-p
with,with,acp-p
Richard,Richard,n1-nn
Conqueror,conqueror,n1
Therefore,therefore,av
paucas,paucas,fw-la
pallabris,pallabras,fw-mi
let,let,vvb
the,the,d
world,world,n1
slide,slide,vvi
Sessa,sessa,uh
HOSTESS,,
You,you,pn
will,will,vmb
not,not,xx
pay,pay,vvi
for,for,acp-p
the,the,d
glasses,glass,n2
you,you,pn
have,have,vvb
burst,burst,vvn
SLY,,
No,no,uh-x
not,not,xx
a,a,d
denier,denier,n1
Go,go,vvb
by,by,acp-av
Saint,saint,n1
Jeronimy,Jeronimy,n1-nn
Go,go,vvb
to,to,acp-p
thy,thy,po
cold,cold,j
bed,bed,n1
and,and,cc
warm,warm,vvb
thee,thou,pno
He,,
lies,,
down,,
HOSTESS,,
I,i,pns
know,know,vvb
my,my,po
remedy,remedy,n1
I,i,pns
must,must,vmb
go,go,vvi
fetch,fetch,vvi
the,the,d
headborough,headborough,n1
She,,
exits,,
SLY,,
Third,three,ord
or,or,cc
fourth,four,ord
or,or,cc
fifth,five,ord
borough,borough,n1
I'll,i|will,pns|vmb
answer,answer,vvi
him,he,pno
by,by,acp-p
law,law,n1
I'll,i|will,pns|vmb
not,not,xx
budge,budge,vvi
an,a,d
inch,inch,n1
boy,boy,n1
Let,let,vvb
him,he,pno
come,come,vvi
and,and,cc
kindly,kind,av_j
Falls,,
asleep,,
Wind,,
horns,,
within,,
Enter,,
a,,
Lord,,
from,,
hunting,,
with,,
his,,
train,,
LORD,,
Huntsman,huntsman,n1
I,i,pns
charge,charge,vvb
thee,thou,pno
tender,tender,vvb
well,well,av
my,my,po
hounds,hound,n2
Breathe,brach,n1-nn
Merriman,Merriman,n1-nn
the,the,d
poor,poor,j
cur,cur,n1
is,be,vvz
embossed,emboss,vvn
And,and,cc
couple,couple,vvb
Clowder,Clowder,n1-nn
with,with,acp-p
the,the,d
deep-mouthed,deep-mouthed,j
brach,brach,n1
Saw'st,see,vvd2
thou,thou,pns
not,not,xx
boy,boy,n1
how,how,crq-cs
Silver,silver,n1
made,make,vvd
it,it,pn
good,good,j
At,at,acp-p
the,the,d
hedge,hedge,n1
corner,corner,n1
in,in,acp-p
the,the,d
coldest,cold,j-s
fault,fault,n1
I,i,pns
would,will,vmd
not,not,xx
lose,lose,vvi
the,the,d
dog,dog,n1
for,for,acp-p
twenty,twenty,crd
pound,pound,n1
FIRST,,
HUNTSMAN,,
Why,why,crq-cs
Bellman,Belman,n1-nn
is,be,vvz
as,as,acp-av
good,good,j
as,as,acp-cs
he,he,pns
my,my,po
lord,lord,n1
He,he,pns
cried,cry,vvd
upon,upon,acp-p
it,it,pn
at,at,acp-p
the,the,d
merest,mere,j-s
loss,loss,n1
And,and,cc
twice,twice,av
today,today,av_n
picked,pick,vvd
out,out,av
the,the,d
dullest,dull,j-s
scent,scent,n1
Trust,trust,vvb
me,i,pno
I,i,pns
take,take,vvb
him,he,pno
for,for,acp-p
the,the,d
better,better,j-c
dog,dog,n1
LORD,,
Thou,thou,pns
art,be,vv2
a,a,d
fool,fool,n1
If,if,cs
Echo,echo,n1
were,be,vvd
as,as,acp-av
fleet,fleet,j
I,i,pns
would,will,vmd
esteem,esteem,vvi
him,he,pno
worth,worth,j
a,a,d
dozen,dozen,crd
such,such,d
But,but,acp-cc
sup,sup,vvb
them,they,pno
well,well,av
and,and,cc
look,look,vvb
unto,unto,acp-p
them,they,pno
all,all,d
Tomorrow,tomorrow,av_n
I,i,pns
intend,intend,vvb
to,to,acp-cs
hunt,hunt,vvi
again,again,av
FIRST,,
HUNTSMAN,,
I,i,pns
will,will,vmb
my,my,po
lord,lord,n1
First,,
Huntsman,,
exits,,
LORD,,
noticing,,
Sly,,
What's,what|be,crq-q|vvz
here,here,av
One,one,pi
dead,dead,j
or,or,cc
drunk,drink,vvn
See,see,vvb
doth,do,vvz
he,he,pns
breathe,breathe,vvi
SECOND,,
HUNTSMAN,,
He,he,pns
breathes,breathe,vvz
my,my,po
lord,lord,n1
Were,be,vvd
he,he,pns
not,not,xx
warmed,warm,vvn
with,with,acp-p
ale,ale,n1
This,this,d
were,be,vvd
a,a,d
bed,bed,n1
but,but,acp-av
cold,cold,j
to,to,acp-cs
sleep,sleep,vvi
so,so,av
soundly,sound,av_j
LORD,,
O,oh,uh
monstrous,monstrous,j
beast,beast,n1
how,how,crq-cs
like,like,acp-p
a,a,d
swine,swine,n1
he,he,pns
lies,lie,vvz
Grim,grim,j
death,death,n1
how,how,crq-cs
foul,foul,j
and,and,cc
loathsome,loathsome,j
is,be,vvz
thine,thy,po
image,image,n1
Sirs,sir,n2
I,i,pns
will,will,vmb
practice,practise,vvi
on,on,acp-p
this,this,d
drunken,drunken,j
man,man,n1
What,what,crq-q
think,think,vvb
you,you,pn
if,if,cs
he,he,pns
were,be,vvd
conveyed,convey,vvn
to,to,acp-p
bed,bed,n1
Wrapped,wrap,vvn
in,in,acp-p
sweet,sweet,j
clothes,clothes,n2
rings,ring,n2
put,put,vvn
upon,upon,acp-p
his,his,po
fingers,finger,n2
A,a,d
most,most,av-s_d
delicious,delicious,j
banquet,banquet,n1
by,by,acp-p
his,his,po
bed,bed,n1
And,and,cc
brave,brave,j
attendants,attendant,n2_j
near,near,acp-p
him,he,pno
when,when,crq-cs
he,he,pns
wakes,wake,vvz
Would,will,vmd
not,not,xx
the,the,d
beggar,beggar,n1
then,then,av
forget,forget,vvi
himself,himself,px
THIRD,,
HUNTSMAN,,
Believe,believe,vvb
me,i,pno
lord,lord,n1
I,i,pns
think,think,vvb
he,he,pns
cannot,can,vmb-x
choose,choose,vvi
SECOND,,
HUNTSMAN,,
It,it,pn
would,will,vmd
seem,seem,vvi
strange,strange,j
unto,unto,acp-p
him,he,pno
when,when,crq-cs
he,he,pns
waked,wake,vvd
LORD,,
Even,even,av
as,as,acp-p
a,a,d
flatt'ring,flatter,j_vg
dream,dream,n1
or,or,cc
worthless,worthless,j
fancy,fancy,n1
Then,then,av
take,take,vvb
him,he,pno
up,up,acp-av
and,and,cc
manage,manage,vvb
well,well,av
the,the,d
jest,jest,n1
Carry,carry,vvb
him,he,pno
gently,gentle,av_j
to,to,acp-p
my,my,po
fairest,fair,j-s
chamber,chamber,n1
And,and,cc
hang,hang,vvb
it,it,pn
round,round,av_j
with,with,acp-p
all,all,d
my,my,po
wanton,wanton,j
pictures,picture,n2
Balm,balm,vvb
his,his,po
foul,foul,j
head,head,n1
in,in,acp-p
warm,warm,j
distillèd,distil,j_vn
waters,water,n2
And,and,cc
burn,burn,vvb
sweet,sweet,j
wood,wood,n1
to,to,acp-cs
make,make,vvi
the,the,d
lodging,lodging,n1
sweet,sweet,j
Procure,procure,vvb
me,i,pno
music,music,n1
ready,ready,j
when,when,crq-cs
he,he,pns
wakes,wake,vvz
To,to,acp-cs
make,make,vvi
a,a,d
dulcet,dulcet,j
and,and,cc
a,a,d
heavenly,heavenly,j
sound,sound,n1
And,and,cc
if,if,cs
he,he,pns
chance,chance,vvb
to,to,acp-cs
speak,speak,vvi
be,be,vvb
ready,ready,j
straight,straight,j
And,and,cc
with,with,acp-p
a,a,d
low,low,j
submissive,submissive,j
reverence,reverence,n1
Say,say,vvb
What,what,crq-q
is,be,vvz
it,it,pn
your,your,po
Honor,honour,n1
will,will,vmb
command,command,vvi
Let,let,vvb
one,one,pi
attend,attend,vvi
him,he,pno
with,with,acp-p
a,a,d
silver,silver,n1
basin,basin,n1
Full,full,j
of,of,acp-p
rosewater,rose-water,n1
and,and,cc
bestrewed,bestrew,vvn
with,with,acp-p
flowers,flower,n2
Another,another,d
bear,bear,vvb
the,the,d
ewer,ewer,n1
the,the,d
third,three,ord
a,a,d
diaper,diaper,n1
And,and,cc
say,say,vvb
Will,Will,vmb
't,it,pn
please,please,vvi
your,your,po
Lordship,lordship,n1
cool,cool,vvi
your,your,po
hands,hand,n2
Someone,someone,pi
be,be,vvb
ready,ready,j
with,with,acp-p
a,a,d
costly,costly,j
suit,suit,n1
And,and,cc
ask,ask,vvb
him,he,pno
what,what,crq-r
apparel,apparel,n1
he,he,pns
will,will,vmb
wear,wear,vvi
Another,another,d
tell,tell,vvb
him,he,pno
of,of,acp-p
his,his,po
hounds,hound,n2
and,and,cc
horse,horse,n1
And,and,cc
that,that,cs
his,his,po
lady,lady,n1
mourns,mourn,vvz
at,at,acp-p
his,his,po
disease,disease,n1
Persuade,persuade,vvb
him,he,pno
that,that,cs
he,he,pns
hath,have,vvz
been,be,vvn
lunatic,lunatic,j
And,and,cc
when,when,crq-cs
he,he,pns
says,say,vvz
he,he,pns
is,be,vvz
say,say,vvb
that,that,cs
he,he,pns
dreams,dream,vvz
For,for,acp-cs
he,he,pns
is,be,vvz
nothing,nothing,pi-x
but,but,acp-p
a,a,d
mighty,mighty,j
lord,lord,n1
This,this,d
do,do,vvb
and,and,cc
do,do,vvb
it,it,pn
kindly,kind,av_j
gentle,gentle,j
sirs,sir,n2
It,it,pn
will,will,vmb
be,be,vvi
pastime,pastime,n1
passing,pass,av_vg
excellent,excellent,j
If,if,cs
it,it,pn
be,be,vvb
husbanded,husband,vvn
with,with,acp-p
modesty,modesty,n1
THIRD,,
HUNTSMAN,,
My,my,po
lord,lord,n1
I,i,pns
warrant,warrant,vvb
you,you,pn
we,we,pns
will,will,vmb
play,play,vvi
our,our,po
part,part,n1
As,as,acp-cs
he,he,pns
shall,shall,vmb
think,think,vvi
by,by,acp-p
our,our,po
true,true,j
diligence,diligence,n1
He,he,pns
is,be,vvz
no,no,av-x_d
less,less,d-c
than,than,cs
what,what,crq-r
we,we,pns
say,say,vvb
he,he,pns
is,be,vvz
LORD,,
Take,take,vvb
him,he,pno
up,up,acp-av
gently,gentle,av_j
and,and,cc
to,to,acp-p
bed,bed,n1
with,with,acp-p
him,he,pno
And,and,cc
each,each,d
one,one,pi
to,to,acp-p
his,his,po
office,office,n1
when,when,crq-cs
he,he,pns
wakes,wake,vvz
Sly,,
is,,
carried,,
out,,
Sound,,
trumpets,,
within,,
Sirrah,sirrah,n1
go,go,vvb
see,see,vvb
what,what,crq-r
trumpet,trumpet,n1
'tis,it|be,pn|vvz
that,that,cs
sounds,sound,vvz
Servingman,,
exits,,
Belike,belike,av
some,some,d
noble,noble,j
gentleman,gentleman,n1
that,that,cs
means,mean,n2
Traveling,travel,vvg
some,some,d
journey,journey,n1
to,to,acp-cs
repose,repose,vvi
him,he,pno
here,here,av
Enter,,
Servingman,,
How,how,crq-cs
now,now,av
Who,who,crq-q
is,be,vvz
it,it,pn
SERVINGMAN,,
An,an,cs
't,it,pn
please,please,vvb
your,your,po
Honor,honour,n1
players,player,n2
That,that,cs
offer,offer,vvb
service,service,n1
to,to,acp-p
your,your,po
Lordship,lordship,n1
LORD,,
Bid,bid,vvb
them,they,pno
come,come,vvi
near,near,av_j
Enter,,
Players,,
Now,now,av
fellows,fellow,n2
you,you,pn
are,be,vvb
welcome,welcome,j
PLAYERS,,
We,we,pns
thank,thank,vvb
your,your,po
Honor,honour,n1
LORD,,
Do,do,vvb
you,you,pn
intend,intend,vvi
to,to,acp-cs
stay,stay,vvi
with,with,acp-p
me,i,pno
tonight,tonight,av
FIRST,,
PLAYER,,
So,so,av
please,please,vvb
your,your,po
Lordship,lordship,n1
to,to,acp-cs
accept,accept,vvi
our,our,po
duty,duty,n1
LORD,,
With,with,acp-p
all,all,d
my,my,po
heart,heart,n1
This,this,d
fellow,fellow,n1
I,i,pns
remember,remember,vvb
Since,since,acp-cs
once,once,acp-av
he,he,pns
played,play,vvd
a,a,d
farmer's,farmer,n1g
eldest,elder,j-s
son,son,n1
'Twas,it|be,pn|vvd
where,where,crq-cs
you,you,pn
wooed,woo,vvd
the,the,d
gentlewoman,gentlewoman,n1
so,so,av
well,well,av
I,i,pns
have,have,vvb
forgot,forget,vvn
your,your,po
name,name,n1
but,but,acp-cc
sure,sure,av_j
that,that,d
part,part,n1
Was,be,vvd
aptly,apt,av_j
fitted,fit,vvn
and,and,cc
naturally,natural,av_j
performed,perform,vvn
SECOND,,
PLAYER,,
I,i,pns
think,think,vvb
'twas,it|be,pn|vvd
Soto,Soto,n1-nn
that,that,cs
your,your,po
Honor,honour,n1
means,mean,vvz
LORD,,
'Tis,it|be,pn|vvz
very,very,av
true,true,j
Thou,thou,pns
didst,do,vvd2
it,it,pn
excellent,excellent,j
Well,well,uh_mi
you,you,pn
are,be,vvb
come,come,vvn
to,to,acp-p
me,i,pno
in,in,acp-p
happy,happy,j
time,time,n1
The,the,d
rather,rather,av-c
for,for,acp-cs
I,i,pns
have,have,vvb
some,some,d
sport,sport,n1
in,in,acp-p
hand,hand,n1
Wherein,wherein,crq-cs
your,your,po
cunning,cunning,n1_j
can,can,vmb
assist,assist,vvi
me,i,pno
much,much,av_d
There,there,acp-av
is,be,vvz
a,a,d
lord,lord,n1
will,will,vmb
hear,hear,vvi
you,you,pn
play,play,vvi
tonight,tonight,av
But,but,acp-cc
I,i,pns
am,be,vvm
doubtful,doubtful,j
of,of,acp-p
your,your,po
modesties,modesty,n2
Lest,lest,cs
over-eying,over-eying,j
of,of,acp-p
his,his,po
odd,odd,j
behavior,behaviour,n1
For,for,acp-p
yet,yet,av
his,his,po
Honor,honour,n1
never,never,av-x
heard,hear,vvd
a,a,d
play,play,n1
You,you,pn
break,break,vvb
into,into,acp-p
some,some,d
merry,merry,j
passion,passion,n1
And,and,cc
so,so,av
offend,offend,vvb
him,he,pno
For,for,acp-cs
I,i,pns
tell,tell,vvb
you,you,pn
sirs,sir,n2
If,if,cs
you,you,pn
should,shall,vmd
smile,smile,vvi
he,he,pns
grows,grow,vvz
impatient,impatient,j
FIRST,,
PLAYER,,
Fear,fear,vvb
not,not,xx
my,my,po
lord,lord,n1
we,we,pns
can,can,vmb
contain,contain,vvi
ourselves,ourselves,px
Were,be,vvd
he,he,pns
the,the,d
veriest,very,j-s
antic,antic,j
in,in,acp-p
the,the,d
world,world,n1
LORD,,
to,,
a,,
Servingman,,
Go,go,vvb
sirrah,sirrah,n1
take,take,vvb
them,they,pno
to,to,acp-p
the,the,d
buttery,buttery,n1
And,and,cc
give,give,vvb
them,they,pno
friendly,friendly,j
welcome,welcome,n1_j
every,every,d
one,one,pi
Let,let,vvb
them,they,pno
want,want,vvi
nothing,nothing,pi-x
that,that,cs
my,my,po
house,house,n1
affords,afford,vvz
One,,
exits,,
with,,
the,,
Players,,
Sirrah,sirrah,n1
go,go,vvb
you,you,pn
to,to,acp-p
Bartholomew,Bartholomew,n1-nn
my,my,po
page,page,n1
And,and,cc
see,see,vvb
him,he,pno
dressed,dress,vvn
in,in,acp-p
all,all,d
suits,suit,n2
like,like,acp-p
a,a,d
lady,lady,n1
That,that,d
done,do,vvn
conduct,conduct,vvb
him,he,pno
to,to,acp-p
the,the,d
drunkard's,drunkard,n1g
chamber,chamber,n1
And,and,cc
call,call,vvb
him,he,pno
Madam,madam,n1
do,do,vvb
him,he,pno
obeisance,obeisance,n1
Tell,tell,vvb
him,he,pno
from,from,acp-p
me,i,pno
as,as,acp-cs
he,he,pns
will,will,vmb
win,win,vvi
my,my,po
love,love,n1
He,he,pns
bear,bear,vvb
himself,himself,px
with,with,acp-p
honorable,honourable,j
action,action,n1
Such,such,d
as,as,acp-cs
he,he,pns
hath,have,vvz
observed,observe,vvn
in,in,acp-p
noble,noble,j
ladies,lady,n2
Unto,unto,acp-p
their,their,po
lords,lord,n2
by,by,acp-p
them,they,pno
accomplishèd,accomplish,vvn
Such,such,d
duty,duty,n1
to,to,acp-p
the,the,d
drunkard,drunkard,n1
let,let,vvb
him,he,pno
do,do,vvi
With,with,acp-p
soft,soft,j
low,low,j
tongue,tongue,n1
and,and,cc
lowly,lowly,j
courtesy,courtesy,n1
And,and,cc
say,say,vvb
What,what,crq-q
is,be,vvz
't,it,pn
your,your,po
Honor,honour,n1
will,will,vmb
command,command,vvi
Wherein,wherein,crq-cs
your,your,po
lady,lady,n1
and,and,cc
your,your,po
humble,humble,j
wife,wife,n1
May,may,vmb
show,show,vvi
her,her,po
duty,duty,n1
and,and,cc
make,make,vvi
known,know,vvn
her,her,po
love,love,n1
And,and,cc
then,then,av
with,with,acp-p
kind,kind,n1
embracements,embracement,n2
tempting,tempt,j_vg
kisses,kiss,n2
And,and,cc
with,with,acp-p
declining,decline,j_vg
head,head,n1
into,into,acp-p
his,his,po
bosom,bosom,n1
Bid,bid,vvb
him,he,pno
shed,shed,vvi
tears,tear,n2
as,as,acp-cs
being,be,vvg
overjoyed,overjoy,vvn
To,to,acp-cs
see,see,vvi
her,her,po
noble,noble,j
lord,lord,n1
restored,restore,vvn
to,to,acp-p
health,health,n1
Who,who,crq-r
for,for,acp-p
this,this,d
seven,seven,crd
years,year,n2
hath,have,vvz
esteemed,esteem,vvn
him,he,pno
No,no,av-x_d
better,better,j-c
than,than,cs
a,a,d
poor,poor,j
and,and,cc
loathsome,loathsome,j
beggar,beggar,n1
And,and,cc
if,if,cs
the,the,d
boy,boy,n1
have,have,vvb
not,not,xx
a,a,d
woman's,woman,n1g
gift,gift,n1
To,to,acp-cs
rain,rain,vvi
a,a,d
shower,shower,n1
of,of,acp-p
commanded,command,j_vn
tears,tear,n2
An,a,d
onion,onion,n1
will,will,vmb
do,do,vvi
well,well,av
for,for,acp-p
such,such,d
a,a,d
shift,shift,n1
Which,which,crq-r
in,in,acp-p
a,a,d
napkin,napkin,n1
being,be,vvg
close,close,av_j
conveyed,convey,vvn
Shall,shall,vmb
in,in,acp-p
despite,despite,n1
enforce,enforce,vvi
a,a,d
watery,watery,j
eye,eye,n1
See,see,vvb
this,this,d
dispatched,dispatch,vvn
with,with,acp-p
all,all,d
the,the,d
haste,haste,n1
thou,thou,pns
canst,can,vm2
Anon,anon,av
I'll,i|will,pns|vmb
give,give,vvi
thee,thou,pno
more,more,av-c_d
instructions,instruction,n2
A,,
Servingman,,
exits,,
I,i,pns
know,know,vvb
the,the,d
boy,boy,n1
will,will,vmb
well,well,av
usurp,usurp,vvi
the,the,d
grace,grace,n1
Voice,voice,n1
gait,gait,n1
and,and,cc
action,action,n1
of,of,acp-p
a,a,d
gentlewoman,gentlewoman,n1
I,i,pns
long,long,vvb
to,to,acp-cs
hear,hear,vvi
him,he,pno
call,call,vvi
the,the,d
drunkard,drunkard,n1
husband,husband,n1
And,and,cc
how,how,crq-cs
my,my,po
men,man,n2
will,will,vmb
stay,stay,vvi
themselves,themselves,px
from,from,acp-p
laughter,laughter,n1
When,when,crq-cs
they,they,pns
do,do,vvb
homage,homage,n1
to,to,acp-p
this,this,d
simple,simple,j
peasant,peasant,n1
I'll,i|will,pns|vmb
in,in,acp-p
to,to,acp-cs
counsel,counsel,n1
them,they,pno
Haply,haply,av
my,my,po
presence,presence,n1
May,may,vmb
well,well,av
abate,abate,vvi
the,the,d
over-merry,over-merry,j
spleen,spleen,n1
Which,which,crq-r
otherwise,otherwise,av
would,will,vmd
grow,grow,vvi
into,into,acp-p
extremes,extreme,n2_j
They,,
exit,,
Scene,,
2,,
Enter,,
aloft,,
Christopher,,
Sly,,
the,,
drunkard,,
with,,
Attendants,,
some,,
with,,
apparel,,
basin,,
and,,
ewer,,
and,,
other,,
appurtenances,,
and,,
Lord,,
