standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Valentine,,
and,,
Proteus,,
VALENTINE,,
Cease,cease,vvb
to,to,acp-cs
persuade,persuade,vvi
my,my,po
loving,love,j_vg
Proteus,Proteus,n1-nn
Home-keeping,home-keeping,j
youth,youth,n1
have,have,vvb
ever,ever,av
homely,homely,j
wits,wit,n2
Were,be,vvd
't,it,pn
not,not,xx
affection,affection,n1
chains,chain,n2
thy,thy,po
tender,tender,j
days,day,n2
To,to,acp-p
the,the,d
sweet,sweet,j
glances,glance,n2
of,of,acp-p
thy,thy,po
honored,honour,j_vn
love,love,n1
I,i,pns
rather,rather,av-c
would,will,vmd
entreat,entreat,vvi
thy,thy,po
company,company,n1
To,to,acp-cs
see,see,vvi
the,the,d
wonders,wonder,n2
of,of,acp-p
the,the,d
world,world,n1
abroad,abroad,av
Than,than,cs
living,live,vvg
dully,dull,av_j
sluggardized,sluggardize,vvn
at,at,acp-p
home,home,n1
Wear,wear,vvb
out,out,av
thy,thy,po
youth,youth,n1
with,with,acp-p
shapeless,shapeless,j
idleness,idleness,n1
But,but,acp-cc
since,since,acp-cs
thou,thou,pns
lov'st,love,vv2
love,love,vvb
still,still,av
and,and,cc
thrive,thrive,vvb
therein,therein,av
Even,even,av
as,as,acp-cs
I,i,pns
would,will,vmd
when,when,crq-cs
I,i,pns
to,to,acp-cs
love,love,vvi
begin,begin,vvb
PROTEUS,,
Wilt,will,vm2
thou,thou,pns
be,be,vvi
gone,go,vvn
Sweet,sweet,j
Valentine,Valentine,n1-nn
adieu,adieu,uh_n
Think,think,vvb
on,on,acp-p
thy,thy,po
Proteus,Proteus,n1-nn
when,when,crq-cs
thou,thou,pns
haply,haply,av
seest,see,vv2
Some,some,d
rare,rare,j
noteworthy,noteworthy,j
object,object,n1
in,in,acp-p
thy,thy,po
travel,travel,n1
Wish,wish,vvb
me,i,pno
partaker,partaker,n1
in,in,acp-p
thy,thy,po
happiness,happiness,n1
When,when,crq-cs
thou,thou,pns
dost,do,vv2
meet,meet,vvi
good,good,j
hap,hap,n1
and,and,cc
in,in,acp-p
thy,thy,po
danger,danger,n1
If,if,cs
ever,ever,av
danger,danger,n1
do,do,vvb
environ,environ,vvi
thee,thou,pno
Commend,commend,vvb
thy,thy,po
grievance,grievance,n1
to,to,acp-p
my,my,po
holy,holy,j
prayers,prayer,n2
For,for,acp-cs
I,i,pns
will,will,vmb
be,be,vvi
thy,thy,po
beadsman,beadsman,n1
Valentine,Valentine,n1-nn
VALENTINE,,
And,and,cc
on,on,acp-p
a,a,d
love-book,love-book,n1
pray,pray,vvb
for,for,acp-p
my,my,po
success,success,n1
PROTEUS,,
Upon,upon,acp-p
some,some,d
book,book,n1
I,i,pns
love,love,vvb
I'll,i|will,pns|vmb
pray,pray,vvi
for,for,acp-p
thee,thou,pno
VALENTINE,,
That's,that|be,d|vvz
on,on,acp-p
some,some,d
shallow,shallow,j
story,story,n1
of,of,acp-p
deep,deep,j
love,love,n1
How,how,crq-cs
young,young,j
Leander,Leander,n1-nn
crossed,cross,vvd
the,the,d
Hellespont,Hellespont,n1-nn
PROTEUS,,
That's,that|be,d|vvz
a,a,d
deep,deep,j
story,story,n1
of,of,acp-p
a,a,d
deeper,deep,j-c
love,love,n1
For,for,acp-cs
he,he,pns
was,be,vvd
more,more,av-c_d
than,than,cs
over,over,acp-p
shoes,shoe,n2
in,in,acp-p
love,love,n1
VALENTINE,,
'Tis,it|be,pn|vvz
true,true,j
for,for,acp-p
you,you,pn
are,be,vvb
over,over,acp-p
boots,boot,n2
in,in,acp-p
love,love,n1
And,and,cc
yet,yet,av
you,you,pn
never,never,av-x
swam,swim,vvd
the,the,d
Hellespont,Hellespont,n1-nn
PROTEUS,,
Over,over,acp-p
