standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Orsino,,
Duke,,
of,,
Illyria,,
Curio,,
and,,
other,,
Lords,,
with,,
Musicians,,
playing,,
ORSINO,,
If,if,cs
music,music,n1
be,be,vvb
the,the,d
food,food,n1
of,of,acp-p
love,love,n1
play,play,vvb
on,on,acp-av
Give,give,vvb
me,i,pno
excess,excess,n1
of,of,acp-p
it,it,pn
that,that,d
surfeiting,surfeit,vvg
The,the,d
appetite,appetite,n1
may,may,vmb
sicken,sicken,vvi
and,and,cc
so,so,av
die,die,vvi
That,that,d
strain,strain,n1
again,again,av
It,it,pn
had,have,vvd
a,a,d
dying,die,j_vg
fall,fall,n1
O,oh,uh
it,it,pn
came,come,vvd
o'er,over,acp-av
my,my,po
ear,ear,n1
like,like,acp-p
the,the,d
sweet,sweet,j
sound,sound,n1
That,that,cs
breathes,breathe,vvz
upon,upon,acp-p
a,a,d
bank,bank,n1
of,of,acp-p
violets,violet,n2
Stealing,steal,vvg
and,and,cc
giving,give,vvg
odor,odour,n1
Enough,enough,av_d
no,no,av-x_d
more,more,av-c_d
'Tis,it|be,pn|vvz
not,not,xx
so,so,av
sweet,sweet,j
now,now,av
as,as,acp-cs
it,it,pn
was,be,vvd
before,before,acp-av
O,oh,uh
spirit,spirit,n1
of,of,acp-p
love,love,n1
how,how,crq-cs
quick,quick,j
and,and,cc
fresh,fresh,j
art,be,vv2
thou,thou,pns
That,that,cs
notwithstanding,notwithstanding,av_j
thy,thy,po
capacity,capacity,n1
Receiveth,receive,vvz
as,as,acp-p
the,the,d
sea,sea,n1
naught,naught,pi-x
enters,enter,vvz
there,there,acp-av
Of,of,acp-p
what,what,crq-r
validity,validity,n1
and,and,cc
pitch,pitch,n1
soe'er,soever,av
But,but,acp-cc
falls,fall,vvz
into,into,acp-p
abatement,abatement,n1
and,and,cc
low,low,j
price,price,n1
Even,even,av
in,in,acp-p
a,a,d
minute,minute,n1
So,so,av
full,full,j
of,of,acp-p
shapes,shape,n2
is,be,vvz
fancy,fancy,n1
That,that,cs
it,it,pn
alone,alone,j
is,be,vvz
high,high,j
fantastical,fantastical,j
CURIO,,
Will,will,vmb
you,you,pn
go,go,vvi
hunt,hunt,vvi
my,my,po
lord,lord,n1
ORSINO,,
What,what,crq-q
Curio,Curio,n1-nn
CURIO,,
The,the,d
hart,hart,n1
ORSINO,,
Why,why,crq-cs
so,so,av
I,i,pns
do,do,vvb
the,the,d
noblest,noble,j-s
that,that,cs
I,i,pns
have,have,vvb
O,oh,uh
when,when,crq-cs
mine,my,po
eyes,eye,n2
did,do,vvd
see,see,vvi
Olivia,Olivia,n1-nn
first,first,ord
Methought,methinks,vvd
she,she,pns
purged,purge,vvd
the,the,d
air,air,n1
of,of,acp-p
pestilence,pestilence,n1
That,that,d
instant,instant,n1_j
was,be,vvd
I,i,pns
turned,turn,vvn
into,into,acp-p
a,a,d
hart,hart,n1
And,and,cc
my,my,po
desires,desire,n2
like,like,acp-p
fell,fell,j
and,and,cc
cruel,cruel,j
hounds,hound,n2
E'er,ever,av
since,since,acp-av
pursue,pursue,vvb
me,i,pno
Enter,,
Valentine,,
How,how,crq-cs
now,now,av
what,what,crq-q
news,news,n1
from,from,acp-p
her,she,pno
VALENTINE,,
So,so,av
please,please,vvb
my,my,po
lord,lord,n1
I,i,pns
might,may,vmd
not,not,xx
be,be,vvi
admitted,admit,vvn
But,but,acp-cc
from,from,acp-p
her,her,po
handmaid,handmaid,n1
do,do,vvb
return,return,vvi
this,this,d
answer,answer,n1
The,the,d
element,element,n1
itself,itself,px
till,till,acp-p
seven,seven,crd
years',year,n2g
heat,heat,n1
Shall,shall,vmb
not,not,xx
behold,behold,vvi
her,her,po
face,face,n1
at,at,acp-p
ample,ample,j
