standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
A,,
tempestuous,,
noise,,
of,,
thunder,,
and,,
lightning,,
heard,,
Enter,,
a,,
Shipmaster,,
and,,
a,,
Boatswain,,
MASTER,,
Boatswain,boatswain,n1
BOATSWAIN,,
Here,here,av
master,master,n1
What,what,crq-q
cheer,cheer,n1
MASTER,,
Good,good,j
speak,speak,vvb
to,to,acp-p
th',the,d
mariners,mariner,n2
Fall,fall,vvb
to,to,acp-p
't,it,pn
yarely,yare,av_j
or,or,cc
we,we,pns
run,run,vvb
ourselves,ourselves,px
aground,aground,av
Bestir,bestir,vvb
bestir,bestir,vvb
He,,
exits,,
Enter,,
Mariners,,
BOATSWAIN,,
Heigh,hey,uh
my,my,po
hearts,heart,n2
Cheerly,cheerly,av_j
cheerly,cheerly,av_j
my,my,po
hearts,heart,n2
Yare,yare,j
yare,yare,j
Take,take,vvb
in,in,acp-p
the,the,d
topsail,topsail,n1
Tend,tend,vvb
to,to,acp-p
th',the,d
Master's,master,n1g
whistle,whistle,n1
Blow,blow,vvb
till,till,acp-cs
thou,thou,pns
burst,burst,vvb
thy,thy,po
wind,wind,n1
if,if,cs
room,room,n1
enough,enough,av_d
Enter,,
Alonso,,
Sebastian,,
Antonio,,
Ferdinand,,
Gonzalo,,
and,,
others,,
ALONSO,,
Good,good,j
boatswain,boatswain,n1
have,have,vvb
care,care,n1
Where's,where|be,crq-q|vvz
the,the,d
Master,master,n1
Play,play,vvb
the,the,d
men,man,n2
BOATSWAIN,,
I,i,pns
pray,pray,vvb
now,now,av
keep,keep,vvb
below,below,acp-av
ANTONIO,,
Where,where,crq-q
is,be,vvz
the,the,d
Master,master,n1
boatswain,boatswain,n1
BOATSWAIN,,
Do,do,vvb
you,you,pn
not,not,xx
hear,hear,vvi
him,he,pno
You,you,pn
mar,mar,vvb
our,our,po
labor,labour,n1
Keep,keep,vvb
your,your,po
cabins,cabin,n2
You,you,pn
do,do,vvb
assist,assist,vvi
the,the,d
storm,storm,n1
GONZALO,,
Nay,nay,uh
good,good,j
be,be,vvb
patient,patient,j
BOATSWAIN,,
When,when,crq-cs
the,the,d
sea,sea,n1
is,be,vvz
Hence,hence,av
What,what,crq-q
cares,care,n2
these,these,d
roarers,roarer,n2
for,for,acp-p
the,the,d
name,name,n1
of,of,acp-p
king,king,n1
To,to,acp-p
cabin,cabin,n1
Silence,silence,n1
Trouble,trouble,vvb
us,we,pno
not,not,xx
GONZALO,,
Good,good,j
yet,yet,av
remember,remember,vvb
whom,who,crq-ro
thou,thou,pns
hast,have,vv2
aboard,aboard,acp-av
BOATSWAIN,,
None,none,pi-x
that,that,cs
I,i,pns
more,more,av-c_d
love,love,vvb
than,than,cs
myself,myself,px
You,you,pn
are,be,vvb
a,a,d
councillor,councillor,n1
if,if,cs
you,you,pn
can,can,vmb
command,command,vvi
these,these,d
elements,element,n2
to,to,acp-cs
silence,silence,n1
and,and,cc
work,work,vvi
the,the,d
peace,peace,n1
of,of,acp-p
the,the,d
present,present,n1
we,we,pns
will,will,vmb
not,not,xx
hand,hand,n1
a,a,d
rope,rope,n1
more,more,av-c_d
Use,use,vvb
your,your,po
authority,authority,n1
If,if,cs
you,you,pn
cannot,can,vmb-x
give,give,vvb
thanks,thank,n2
you,you,pn
have,have,vvb
lived,live,vvn
so,so,av
long,long,av_j
and,and,cc
make,make,vvb
yourself,yourself,px
ready,ready,j
in,in,acp-p
your,your,po
cabin,cabin,n1
for,for,acp-p
the,the,d
mischance,mischance,n1
of,of,acp-p
the,the,d
hour,hour,n1
if,if,cs
it,it,pn
so,so,av
hap,hap,vvb
Cheerly,cheerly,av_j
good,good,j
hearts,heart,n2
Out,out,av
of,of,acp-p
our,our,po
way,way,n1
I,i,pns
say,say,vvb
