standard,lemma,postag
Enter,,
the,,
Prologue,,
in,,
armor,,
PROLOGUE,,
In,in,acp-p
Troy,Troy,n1-nn
there,there,acp-av
lies,lie,vvz
the,the,d
scene,scene,n1
From,from,acp-p
isles,isle,n2
of,of,acp-p
Greece,Greece,n1-nn
The,the,d
princes,prince,n2
orgulous,orgulous,j
their,their,po
high,high,j
blood,blood,n1
chafed,chafe,vvn
Have,have,vvb
to,to,acp-p
the,the,d
port,port,n1
of,of,acp-p
Athens,Athens,n1-nn
sent,send,vvn
their,their,po
ships,ship,n2
Fraught,fraught,vvn
with,with,acp-p
the,the,d
ministers,minister,n2
and,and,cc
instruments,instrument,n2
Of,of,acp-p
cruel,cruel,j
war,war,n1
Sixty,sixty,crd
and,and,cc
nine,nine,crd
that,that,cs
wore,wear,vvd
Their,their,po
crownets,crownet,n2
regal,regal,j
from,from,acp-p
th',the,d
Athenian,Athenian,j-nn
bay,bay,n1
Put,put,vvb
forth,forth,av
toward,towards,acp-p
Phrygia,Phrygia,n1-nn
and,and,cc
their,their,po
vow,vow,n1
is,be,vvz
made,make,vvn
To,to,acp-cs
ransack,ransack,vvi
Troy,Troy,n1-nn
within,within,acp-p
whose,who,crq-rg
strong,strong,j
immures,immure,n2
The,the,d
ravished,ravish,j_vn
Helen,Helen,n1-nn
Menelaus',Menelaus,n1g-nn
queen,queen,n1
With,with,acp-p
wanton,wanton,j
Paris,Paris,n1-nn
sleeps,sleep,vvz
and,and,cc
that's,that|be,d|vvz
the,the,d
quarrel,quarrel,n1
To,to,acp-p
Tenedos,Tenedos,n1-nn
they,they,pns
come,come,vvb
And,and,cc
the,the,d
deep-drawing,deep-drawing,j
barks,bark,n2
do,do,vvb
there,there,acp-av
disgorge,disgorge,vvi
Their,their,po
warlike,warlike,j
fraughtage,fraughtage,n1
Now,now,av
on,on,acp-p
Dardan,Dardan,n1-nn
plains,plain,n2
The,the,d
fresh,fresh,j
and,and,cc
yet,yet,av
unbruisèd,unbruised,j_vn
Greeks,Greek,n2-nn_j
do,do,vvb
pitch,pitch,vvi
Their,their,po
brave,brave,j
pavilions,pavilion,n2
Priam's,Priam,n1g-nn
six-gated,six-gated,j
city,city,n1
Dardan,Dardan,n1-nn
and,and,cc
Timbria,Timbria,n1-nn
Helias,Helias,n1-nn
Chetas,Cheta,n1-nn
Troien,Troien,n1-nn
And,and,cc
Antenorides,Antenorides,n1-nn
with,with,acp-p
massy,massy,j
staples,staple,n2
And,and,cc
corresponsive,corresponsive,j
and,and,cc
fulfilling,fulfil,j_vg
bolts,bolt,n2
Spar,spar,vvb
up,up,acp-p
the,the,d
sons,son,n2
of,of,acp-p
Troy,Troy,n1-nn
Now,now,av
expectation,expectation,n1
tickling,tickle,j_vg
skittish,skittish,j
spirits,spirit,n2
On,on,acp-p
one,one,crd
and,and,cc
other,other,d
side,side,n1
Trojan,Trojan,j-nn
and,and,cc
Greek,Greek,j-nn
Sets,set,vvz
all,all,d
on,on,acp-p
hazard,hazard,n1
And,and,cc
hither,hither,av
am,be,vvm
I,i,pns
come,come,vvn
A,a,d
prologue,prologue,n1
armed,arm,vvn
but,but,acp-cc
not,not,xx
in,in,acp-p
confidence,confidence,n1
Of,of,acp-p
author's,author,n1g
pen,pen,n1
or,or,cc
actor's,actor,n1g
voice,voice,n1
but,but,acp-cc
suited,suit,vvn
In,in,acp-p
like,like,j
conditions,condition,n2
as,as,acp-cs
our,our,po
argument,argument,n1
To,to,acp-cs
tell,tell,vvi
you,you,pn
fair,fair,j
beholders,beholder,n2
that,that,cs
our,our,po
play,play,n1
Leaps,leap,vvz
o'er,over,acp-p
the,the,d
vaunt,vaunt,n1
and,and,cc
firstlings,firstling,n2
of,of,acp-p
those,those,d
broils,broil,n2
Beginning,begin,vvg
in,in,acp-p
the,the,d
middle,middle,n1_j
starting,start,vvg
thence,thence,av
away,away,av
To,to,acp-p
what,what,crq-r
may,may,vmb
be,be,vvi
digested,digest,vvn
in,in,acp-p
a,a,d
play,play,n1
Like,like,vvb
or,or,cc
find,find,vvb
fault,fault,n1
do,do,vvb
as,as,acp-cs
your,your,po
pleasures,pleasure,n2
are,be,vvb
Now,now,av
good,good,j
or,or,cc
bad,bad,j
'tis,it|be,pn|vvz
but,but,acp-p
the,the,d
chance,chance,n1
of,of,acp-p
war,war,n1
Prologue,,
exits,,
ACT,,
1,,
Scene,,
1,,
Enter,,
Pandarus,,
and,,
Troilus,,
TROILUS,,
Call,call,vvb
here,here,av
my,my,po
varlet,varlet,n1
I'll,i|will,pns|vmb
unarm,unarm,vvi
again,again,av
Why,why,crq-q
should,shall,vmd
I,i,pns
war,war,vvi
without,without,acp-p
the,the,d
walls,wall,n2
of,of,acp-p
Troy,Troy,n1-nn
That,that,cs
find,find,vvb
such,such,d
cruel,cruel,j
battle,battle,n1
here,here,av
within,within,acp-av
Each,each,d
Trojan,Trojan,j-nn
that,that,cs
is,be,vvz
master,master,n1
of,of,acp-p
his,his,po
heart,heart,n1
Let,let,vvb
him,he,pno
to,to,acp-cs
field,field,n1
Troilus,Troilus,n1-nn
alas,alas,uh
hath,have,vvz
none,none,pi-x
PANDARUS,,
