standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Camillo,,
and,,
Archidamus,,
ARCHIDAMUS,,
If,if,cs
you,you,pn
shall,shall,vmb
chance,chance,vvi
Camillo,Camillo,n1-nn
to,to,acp-cs
visit,visit,vvi
Bohemia,Bohemia,n1-nn
on,on,acp-p
the,the,d
like,like,j
occasion,occasion,n1
whereon,whereon,crq-cs
my,my,po
services,service,n2
are,be,vvb
now,now,av
on,on,acp-p
foot,foot,n1
you,you,pn
shall,shall,vmb
see,see,vvi
as,as,acp-cs
I,i,pns
have,have,vvb
said,say,vvn
great,great,j
difference,difference,n1
betwixt,betwixt,acp-p
our,our,po
Bohemia,Bohemia,n1-nn
and,and,cc
your,your,po
Sicilia,Sicilia,n1-nn
CAMILLO,,
I,i,pns
think,think,vvb
this,this,d
coming,come,j_vg
summer,summer,n1
the,the,d
King,king,n1
of,of,acp-p
Sicilia,Sicilia,n1-nn
means,mean,vvz
to,to,acp-cs
pay,pay,vvi
Bohemia,Bohemia,n1-nn
the,the,d
visitation,visitation,n1
which,which,crq-r
he,he,pns
justly,just,av_j
owes,owe,vvz
him,he,pno
ARCHIDAMUS,,
Wherein,wherein,crq-cs
our,our,po
entertainment,entertainment,n1
shall,shall,vmb
shame,shame,vvi
us,we,pno
we,we,pns
will,will,vmb
be,be,vvi
justified,justify,vvn
in,in,acp-p
our,our,po
loves,love,n2
For,for,acp-p
indeed,indeed,av
CAMILLO,,
Beseech,beseech,vvb
you,you,pn
ARCHIDAMUS,,
Verily,very,av_j
I,i,pns
speak,speak,vvb
it,it,pn
in,in,acp-p
the,the,d
freedom,freedom,n1
of,of,acp-p
my,my,po
knowledge,knowledge,n1
We,we,pns
cannot,can,vmb-x
with,with,acp-p
such,such,d
magnificence,magnificence,n1
in,in,acp-p
so,so,av
rare,rare,j
I,i,pns
know,know,vvb
not,not,xx
what,what,crq-r
to,to,acp-cs
say,say,vvi
We,we,pns
will,will,vmb
give,give,vvi
you,you,pn
sleepy,sleepy,j
drinks,drink,n2
that,that,cs
your,your,po
senses,sense,n2
unintelligent,unintelligent,j
of,of,acp-p
our,our,po
insufficience,insufficience,n1
may,may,vmb
though,though,cs
they,they,pns
cannot,can,vmb-x
praise,praise,vvi
us,we,pno
as,as,acp-cs
little,little,av_j
accuse,accuse,vvb
us,we,pno
CAMILLO,,
You,you,pn
pay,pay,vvb
a,a,d
great,great,j
deal,deal,n1
too,too,av
dear,dear,j
for,for,acp-p
what's,what|be,crq-q|vvz
given,give,vvn
freely,free,av_j
ARCHIDAMUS,,
Believe,believe,vvb
me,i,pno
I,i,pns
speak,speak,vvb
as,as,acp-cs
my,my,po
understanding,understanding,n1
instructs,instruct,vvz
me,i,pno
and,and,cc
as,as,acp-cs
mine,my,po
honesty,honesty,n1
puts,put,vvz
it,it,pn
to,to,acp-p
utterance,utterance,n1
CAMILLO,,
Sicilia,Sicilia,n1-nn
cannot,can,vmb-x
show,show,vvi
himself,himself,px
over-kind,overkind,j
to,to,acp-p
Bohemia,Bohemia,n1-nn
They,they,pns
were,be,vvd
trained,train,vvn
together,together,av
in,in,acp-p
their,their,po
childhoods,childhood,n2
and,and,cc
there,there,acp-av
rooted,root,vvd
betwixt,betwixt,acp-p
them,they,pno
then,then,av
such,such,d
an,a,d
affection,affection,n1
which,which,crq-r
cannot,can,vmb-x
choose,choose,vvi
but,but,acp-p
branch,branch,vvi
now,now,av
Since,since,acp-cs
their,their,po
more,more,av-c_d
mature,mature,j
dignities,dignity,n2
and,and,cc
royal,royal,j
necessities,necessity,n2
made,make,vvd
separation,separation,n1
of,of,acp-p
their,their,po
society,society,n1
their,their,po
encounters,encounter,n2
though,though,cs
not,not,xx
personal,personal,j
hath,have,vvz
been,be,vvn
