standard,lemma,postag
ACT,,
1,,
Scene,,
1,,
Enter,,
Justice,,
Shallow,,
Slender,,
and,,
Sir,,
Hugh,,
Evans,,
SHALLOW,,
Sir,sir,n1
Hugh,Hugh,n1-nn
persuade,persuade,vvb
me,i,pno
not,not,xx
I,i,pns
will,will,vmb
make,make,vvi
a,a,d
Star-Chamber,Star-Chamber,n1
matter,matter,n1
of,of,acp-p
it,it,pn
If,if,cs
he,he,pns
were,be,vvd
twenty,twenty,crd
Sir,sir,n1
John,John,n1-nn
Falstaffs,Falstaff,n2-nn
he,he,pns
shall,shall,vmb
not,not,xx
abuse,abuse,vvi
Robert,Robert,n1-nn
Shallow,shallow,j
Esquire,esquire,n1
SLENDER,,
In,in,acp-p
the,the,d
county,county,n1
of,of,acp-p
Gloucester,Gloucester,n1-nn
Justice,justice,n1
of,of,acp-p
Peace,peace,n1
and,and,cc
Coram,coram,fw-la
SHALLOW,,
Ay,ay,uh
Cousin,cousin,n1
Slender,Slender,n1-nn
and,and,cc
Custalorum,custalorum,fw-mi
SLENDER,,
Ay,ay,uh
and,and,cc
Ratolorum,rato-lorum,fw-mi
too,too,av
and,and,cc
a,a,d
gentleman,gentleman,n1
born,bear,vvn
Master,master,n1
Parson,parson,n1
who,who,crq-r
writes,write,vvz
himself,himself,px
Armigero,armigero,fw-la
in,in,acp-p
any,any,d
bill,bill,n1
warrant,warrant,vvb
quittance,quittance,n1
or,or,cc
obligation,obligation,n1
Armigero,armigero,fw-la
SHALLOW,,
Ay,ay,uh
that,that,cs
I,i,pns
do,do,vvb
and,and,cc
have,have,vvb
done,do,vvn
any,any,d
time,time,n1
these,these,d
three,three,crd
hundred,hundred,crd
years,year,n2
SLENDER,,
All,all,d
his,his,po
successors,successor,n2
gone,go,vvn
before,before,acp-p
him,he,pno
hath,have,vvz
done,do,vvn
't,it,pn
and,and,cc
all,all,d
his,his,po
ancestors,ancestor,n2
that,that,cs
come,come,vvb
after,after,acp-p
him,he,pno
may,may,vmb
They,they,pns
may,may,vmb
give,give,vvi
the,the,d
dozen,dozen,crd
white,white,j
luces,luce,n2
in,in,acp-p
their,their,po
coat,coat,n1
SHALLOW,,
It,it,pn
is,be,vvz
an,a,d
old,old,j
coat,coat,n1
SIR,,
HUGH,,
The,the,d
dozen,dozen,crd
white,white,j
louses,louse,n2
do,do,vvb
become,become,vvi
an,a,d
old,old,j
coat,coat,n1
well,well,av
It,it,pn
agrees,agree,vvz
well,well,av
passant,passant,j
It,it,pn
is,be,vvz
a,a,d
familiar,familiar,j
beast,beast,n1
to,to,acp-p
man,man,n1
and,and,cc
signifies,signify,vvz
love,love,n1
SHALLOW,,
The,the,d
luce,luce,n1
is,be,vvz
the,the,d
fresh,fresh,j
fish,fish,n1
The,the,d
salt,salt,n1
fish,fish,n1
is,be,vvz
an,a,d
old,old,j
coat,coat,n1
SLENDER,,
I,i,pns
may,may,vmb
quarter,quarter,n1
coz,coz,n1
SHALLOW,,
You,you,pn
may,may,vmb
by,by,acp-p
marrying,marry,vvg
SIR,,
HUGH,,
It,it,pn
is,be,vvz
marring,mar,vvg
indeed,indeed,av
if,if,cs
he,he,pns
quarter,quarter,vvb
it,it,pn
SHALLOW,,
Not,not,xx
a,a,d
whit,whit,n1
SIR,,
HUGH,,
Yes,yes,uh
py,by,acp-p
'r,our,po
Lady,lady,n1
If,if,cs
he,he,pns
has,have,vvz
a,a,d
quarter,quarter,n1
of,of,acp-p
your,your,po
coat,coat,n1
there,there,acp-av
is,be,vvz
but,but,acp-av
three,three,crd
skirts,skirt,n2
for,for,acp-p
yourself,yourself,px
in,in,acp-p
my,my,po
simple,simple,j
conjectures,conjecture,n2
But,but,acp-cc
that,that,d
is,be,vvz
all,all,d
one,one,pi
If,if,cs
Sir,sir,n1
