,filenumber,author,creation date,genre,title
343,A16923,"Brome, Richard",1640,CO,The Antipodes
344,A16924,"Brome, Richard",1632,CO,The Northern Lass 
345,A16927,"Brome, Richard",1635,CO,The Sparagus Garden (Tom Hoydon o' Tanton Deane)
456,A29637,"Brome, Richard",1641,CO,"A Jovial Crew, or The Merry Beggars "
457,A29644,"Brome, Richard",1657,CO,The Queen's Exchange (The Royal Exchange) 
531,A77565_01,"Brome, Richard",1632,CO,A Mad Couple Well Matched
532,A77565_02,"Brome, Richard",1639,CO,The Novella
533,A77565_04,"Brome, Richard",1637,CO,"The City Wit, or The Woman Wears the Breeches"
534,A77567_01,"Brome, Richard",1632,CO,"The English Moor, or The Mock Marriage"
535,A77567_02,"Brome, Richard",1635,TC,"The Lovesick Court, or The Ambitious Politic"
536,A77567_03,"Brome, Richard",1635,CO,"The Weeding of the Covent Garden, or The Middlesex Justice of Peace"
537,A77567_04,"Brome, Richard",1659,CO,The New Academy or The New Exchange
538,A77567_05,"Brome, Richard",1659,TC,The Queen and Concubine
71,A01911,"Chapman, George",1602,CO,Sir Giles Goosecap 
353,A18400,"Chapman, George",1601,CO,All Fools 
354,A18402,"Chapman, George",1596,CO,The Blind Beggar of Alexandria
355,A18403,"Chapman, George",1604,TR,Bussy D'Ambois 
356,A18404_01,"Chapman, George",1608,TR,The Conspiracy  of Charles Duke of Byron 
357,A18404_02,"Chapman, George",1608,TR,The  Tragedy of Charles Duke of Byron 
359,A18413,"Chapman, George",1602,CO,The Gentleman Usher
360,A18415,"Chapman, George",1602,CO,May Day
362,A18419,"Chapman, George",1597,CO,An Humorous Day's Mirth
363,A18421,"Chapman, George",1610,TR,The Revenge of Bussy D'Ambois
364,A18423,"Chapman, George",1619,CO,Two Wise Men and All the Rest Fools 
365,A18425,"Chapman, George",1605,TR,Caesar and Pompey (The Wars of Caesar and Pompey) 
366,A18426,"Chapman, George",1604,CO,The Widow's Tears
526,A69093,"Chapman, George",1605,CO,Monsieur D'Olive 
210,A07492,"Dekker, Thomas",1601,CO,"Blurt, Master Constable"
254,A11145,"Dekker, Thomas",1634,TR,"The Noble Spanish Soldier (The Noble Soldier, or A Contract Broken Justly Revenged) "
398,A20065,"Dekker, Thomas",1605,CO,2 The Honest Whore
399,A20066,"Dekker, Thomas",1611,CO,"If It Be Not Good, the Devil Is in It"
400,A20076,"Dekker, Thomas",1599,CO,Old Fortunatus 
402,A20081,"Dekker, Thomas",1601,CO,"Satiromastix, or The Untrussing of the Humorous Poet "
403,A20083,"Dekker, Thomas",1599,CO,The Shoemaker's Holiday
404,A20088,"Dekker, Thomas",1611,CO,Match Me in London 
405,A20093,"Dekker, Thomas",1631,CO,The Wonder of A Kingdom 
42,A00962,"Fletcher, John",1608,TC,The Faithful Shepherdess 
44,A00967,"Fletcher, John",1624,CO,Rule a Wife and Have a Wife 
418,A27177_01,"Fletcher, John",1617,TC,The Mad Lover
427,A27177_10,"Fletcher, John",1617,CO,The Chances
428,A27177_11,"Fletcher, John",1618,TC,The Loyal Subject
431,A27177_14,"Fletcher, John",1621,TC,The Island Princess
432,A27177_15,"Fletcher, John",1619,CO,"The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe)"
436,A27177_19,"Fletcher, John",1613,TR,Bonduca 
439,A27177_22,"Fletcher, John",1621,CO,The Pilgrim
441,A27177_24,"Fletcher, John",1611,CO,"The Woman's Prize, or The Tamer Tamed"
445,A27177_28,"Fletcher, John",1620,TC,Women Pleased
446,A27177_29,"Fletcher, John",1624,TC,A Wife for a Month
448,A27177_31,"Fletcher, John",1614,TR,Valentinian
452,A27203,"Fletcher, John",1621,CO,The Wild Goose Chase 
47,A01046,"Ford, John",1630,TR,The Broken Heart 
48,A01047,"Ford, John",1633,HI,Perkin Warbeck 
49,A01049,"Ford, John",1635,CO,The Fancies Chaste and Noble 
50,A01052,"Ford, John",1638,CO,The Lady's Trial 
51,A01055,"Ford, John",1628,CO,The Lover's Melancholy 
52,A01056,"Ford, John",1632,TR,Love's Sacrifice 
53,A01057,"Ford, John",1631,TR,'Tis Pity She's a Whore 
429,A27177_12,"Ford, John",1619,TC,The Laws of Candy
509,A56872,"Ford, John",1628,TC,The Queen
73,A02070,"Greene, Robert",1591,CO,"George a Green, the Pinner of Wakefield "
74,A02091,"Greene, Robert",1587,CO,"Alphonsus, King of Aragon "
75,A02125,"Greene, Robert",1591,HI,Orlando Furioso 
76,A02128,"Greene, Robert",1589,CO,Friar Bacon and Friar Bongay 
77,A02168,"Greene, Robert",1590,HI,The Scottish History of James IV
520,A68114,"Greene, Robert",1591,TR,The Tragical Reign of Selimus
86,A03189,"Heywood, Thomas",1611,TC,The Brazen Age 
87,A03190,"Heywood, Thomas",1635,CO,A Challenge for Beauty 
88,A03195,"Heywood, Thomas",1627,CO,The English Traveller 
89,A03197,"Heywood, Thomas",1602,CO,The Fair Maid of the Exchange 
90,A03201_01,"Heywood, Thomas",1631,CO,1 The Fair Maid of the West
91,A03201_02,"Heywood, Thomas",1631,CO,2 The Fair Maid of the West
92,A03202,"Heywood, Thomas",1594,TC,The Four Prentices of London 
93,A03205,"Heywood, Thomas",1610,TC,"The Golden Age, or The Lives of Jupiter and Saturn"
94,A03208,"Heywood, Thomas",1604,HI,"1 If You Know Not Me You Know Nobody, or The Troubles of Queen Elizabeth"
95,A03217,"Heywood, Thomas",1605,HI,2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles)
96,A03223_01,"Heywood, Thomas",1612,TC,1 The Iron Age
97,A03223_02,"Heywood, Thomas",1612,TC,2 The Iron Age
98,A03224_01,"Heywood, Thomas",1599,HI,1 Edward IV
99,A03224_02,"Heywood, Thomas",1599,HI,2 Edward IV
104,A03244,"Heywood, Thomas",1607,TR,The Rape of Lucrece 
105,A03248,"Heywood, Thomas",1602,TC,The Royal King and the Loyal Subject 
106,A03255,"Heywood, Thomas",1604,CO,The Wise Woman of Hogsdon 
107,A03256,"Heywood, Thomas",1603,TR,A Woman Killed with Kindness 
372,A19183,"Heywood, Thomas",1602,CO,How a Man May Choose a Good Wife from a Bad 
121,A04632_01,"Jonson, Ben",1598,CO,Every Man in His Humour
122,A04632_03,"Jonson, Ben",1600,CO,Cynthia's Revels
123,A04632_04,"Jonson, Ben",1601,CO,Poetaster
124,A04632_05,"Jonson, Ben",1604,TR,Sejanus His Fall
125,A04632_06,"Jonson, Ben",1607,CO,Volpone
126,A04632_08,"Jonson, Ben",1612,CO,The Alchemist
127,A04632_09,"Jonson, Ben",1611,TR,Catiline His Conspiracy 
129,A04633_01,"Jonson, Ben",1614,CO,Bartholomew Fair 
130,A04633_03,"Jonson, Ben",1614,CO,The Staple of News
132,A04638,"Jonson, Ben",1597,CO,The Case Is Altered 
135,A04645,"Jonson, Ben",1610,CO,"Epicoene, or The Silent Woman"
136,A04648,"Jonson, Ben",1599,CO,Every Man Out of His Humour
141,A04658,"Jonson, Ben",1629,CO,The New Inn
467,A46228,"Jonson, Ben",1616,CO,The Devil Is an Ass 
164,A06583,"Lyly, John",1583,CO,"Campaspe (Alexander, Campaspe, and Diogenes) "
165,A06589,"Lyly, John",1591,CO,Endymion
166,A06619,"Lyly, John",1584,CO,Gallathea 
167,A06620,"Lyly, John",1590,TC,Love's Metamorphosis 
168,A06621,"Lyly, John",1589,CO,Midas
169,A06622,"Lyly, John",1591,CO,Mother Bombie
